common_name,scientific_name,IUCN,Tracking_data
Wilson's Storm-petrel,Oceanites oceanicus,LC,Yes
White-vented Storm-petrel,Oceanites gracilis,DD,No
Pincoya Storm-petrel,Oceanites pincoyae,DD,No
Grey-backed Storm-petrel,Garrodia nereis,LC,No
White-faced Storm-petrel,Pelagodroma marina,LC,Yes
White-bellied Storm-petrel,Fregetta grallaria,LC,No
Black-bellied Storm-petrel,Fregetta tropica,LC,No
New Zealand Storm-petrel,Fregetta maoriana,CR,No
Polynesian Storm-petrel,Nesofregetta fuliginosa,EN,No
European Storm-petrel,Hydrobates pelagicus,LC,Yes
Cape Verde Storm-petrel,Hydrobates jabejabe,LC,Yes
Band-rumped Storm-petrel,Hydrobates castro,LC,Yes
Monteiro's Storm-petrel,Hydrobates monteiroi,VU,Yes
Matsudaira's Storm-petrel,Hydrobates matsudairae,VU,No
Black Storm-petrel,Hydrobates melania,LC,No
Ashy Storm-petrel,Hydrobates homochroa,EN,No
Least Storm-petrel,Hydrobates microsoma,LC,No
Wedge-rumped Storm-petrel,Hydrobates tethys,LC,No
Townsend's Storm-petrel,Hydrobates socorroensis,EN,No
Ainley's Storm-petrel,Hydrobates cheimomnestes,VU,No
Leach's Storm-petrel,Hydrobates leucorhous,VU,Yes
Swinhoe's Storm-petrel,Hydrobates monorhis,NT,No
Tristram's Storm-petrel,Hydrobates tristrami,LC,No
Markham's Storm-petrel,Hydrobates markhami,NT,No
Fork-tailed Storm-petrel,Hydrobates furcatus,LC,Yes
Ringed Storm-petrel,Hydrobates hornbyi,NT,No
Northern Fulmar,Fulmarus glacialis,LC,Yes
Southern Fulmar,Fulmarus glacialoides,LC,Yes
Antarctic Petrel,Thalassoica antarctica,LC,Yes
Cape Petrel,Daption capense,LC,Yes
Snow Petrel,Pagodroma nivea,LC,Yes
Blue Petrel,Halobaena caerulea,LC,Yes
Broad-billed Prion,Pachyptila vittata,LC,Yes
Salvin's Prion,Pachyptila salvini,LC,No
MacGillivray's Prion,Pachyptila macgillivrayi,EN,Yes
Antarctic Prion,Pachyptila desolata,LC,Yes
Slender-billed Prion,Pachyptila belcheri,LC,Yes
Fairy Prion,Pachyptila turtur,LC,Yes
Fulmar Prion,Pachyptila crassirostris,LC,No
Kerguelen Petrel,Aphrodroma brevirostris,LC,No
White-winged Petrel,Pterodroma leucoptera,VU,Yes
Collared Petrel,Pterodroma brevipes,VU,No
Masatierra Petrel,Pterodroma defilippiana,VU,No
Stejneger's Petrel,Pterodroma longirostris,VU,No
Cook's Petrel,Pterodroma cookii,VU,Yes
Pycroft's Petrel,Pterodroma pycrofti,VU,Yes
Bonin Petrel,Pterodroma hypoleuca,LC,No
Black-winged Petrel,Pterodroma nigripennis,LC,Yes
Chatham Petrel,Pterodroma axillaris,VU,Yes
Murphy's Petrel,Pterodroma ultima,LC,Yes
Providence Petrel,Pterodroma solandri,VU,Yes
Kermadec Petrel,Pterodroma neglecta,LC,Yes
Trindade Petrel,Pterodroma arminjoniana,VU,Yes
Herald Petrel,Pterodroma heraldica,LC,No
Henderson Petrel,Pterodroma atrata,EN,No
Phoenix Petrel,Pterodroma alba,EN,No
Barau's Petrel,Pterodroma baraui,EN,Yes
Mottled Petrel,Pterodroma inexpectata,NT,Yes
Hawaiian Petrel,Pterodroma sandwichensis,EN,Yes
Galapagos Petrel,Pterodroma phaeopygia,CR,Yes
White-necked Petrel,Pterodroma cervicalis,VU,Yes
Juan Fernandez Petrel,Pterodroma externa,VU,No
Soft-plumaged Petrel,Pterodroma mollis,LC,Yes
Bermuda Petrel,Pterodroma cahow,EN,Yes
Black-capped Petrel,Pterodroma hasitata,EN,Yes
Cape Verde Petrel,Pterodroma feae,NT,Yes
Desertas Petrel,Pterodroma deserta,VU,Yes
Zino's Petrel,Pterodroma madeira,EN,Yes
Magenta Petrel,Pterodroma magentae,CR,Yes
Atlantic Petrel,Pterodroma incerta,EN,Yes
White-headed Petrel,Pterodroma lessonii,LC,Yes
Great-winged Petrel,Pterodroma macroptera,LC,Yes
Grey-faced Petrel,Pterodroma gouldi,LC,Yes
Grey Petrel,Procellaria cinerea,NT,Yes
White-chinned Petrel,Procellaria aequinoctialis,VU,Yes
Spectacled Petrel,Procellaria conspicillata,VU,Yes
Westland Petrel,Procellaria westlandica,EN,Yes
Black Petrel,Procellaria parkinsoni,VU,Yes
Wedge-tailed Shearwater,Ardenna pacifica,LC,Yes
Buller's Shearwater,Ardenna bulleri,VU,Yes
Short-tailed Shearwater,Ardenna tenuirostris,LC,Yes
Sooty Shearwater,Ardenna grisea,NT,Yes
Great Shearwater,Ardenna gravis,LC,Yes
Flesh-footed Shearwater,Ardenna carneipes,NT,Yes
Pink-footed Shearwater,Ardenna creatopus,VU,Yes
Streaked Shearwater,Calonectris leucomelas,NT,Yes
Scopoli's Shearwater,Calonectris diomedea,LC,Yes
Cory's Shearwater,Calonectris borealis,LC,Yes
Cape Verde Shearwater,Calonectris edwardsii,NT,Yes
Christmas Shearwater,Puffinus nativitatis,LC,No
Galapagos Shearwater,Puffinus subalaris,LC,No
Fluttering Shearwater,Puffinus gavia,LC,Yes
Hutton's Shearwater,Puffinus huttoni,EN,Yes
Black-vented Shearwater,Puffinus opisthomelas,NT,Yes
Bryan's Shearwater,Puffinus bryani,CR,No
Rapa Shearwater,Puffinus myrtae,CR,No
Newell's Shearwater,Puffinus newelli,CR,Yes
Townsend's Shearwater,Puffinus auricularis,CR,No
Tropical Shearwater,Puffinus bailloni,LC,Yes
Persian Shearwater,Puffinus persicus,LC,No
Bannerman's Shearwater,Puffinus bannermani,EN,No
Manx Shearwater,Puffinus puffinus,LC,Yes
Yelkouan Shearwater,Puffinus yelkouan,VU,Yes
Balearic Shearwater,Puffinus mauretanicus,CR,Yes
Subantarctic Shearwater,Puffinus elegans,LC,No
