"files","species","site","colony","pop","population","sp_pop"
"Ardenna bulleri_New Zealand_Aorangi Island_Ardenna bulleri_New Zealand_GLS_2011-2013_noSST.csv","Ardenna bulleri","New Zealand","Aorangi Island","Aorangi Island","Aorangi Island, New Zealand","Ardenna bulleri_Aorangi Island"
"Ardenna bulleri_New Zealand_Aorangi Island_Ardenna bulleri_New Zealand_GLS_2011-2013_SST.csv","Ardenna bulleri","New Zealand","Aorangi Island","Aorangi Island","Aorangi Island, New Zealand","Ardenna bulleri_Aorangi Island"
"Ardenna bulleri_Poor Knights Group_Aorangi Island_zoatrack_110.csv","Ardenna bulleri","Poor Knights Group","Aorangi Island","Aorangi Island","Aorangi Island, Poor Knights Group","Ardenna bulleri_Aorangi Island"
"Ardenna carneipes_Lord Howe Island_Lord Howe Island_Ardenna carneipes_Lord Howe Island_GLS_2005-2008.csv","Ardenna carneipes","Lord Howe Island","Lord Howe Island","Lord Howe Island","Lord Howe Island, Lord Howe Island","Ardenna carneipes_Lord Howe Island"
"Ardenna carneipes_New Zealand_Kauwahaia Island_Ardenna carneipes_New Zealand_GLS_2006-2007.csv","Ardenna carneipes","New Zealand","Kauwahaia Island","New Zealand","Kauwahaia Island, New Zealand","Ardenna carneipes_New Zealand"
"Ardenna carneipes_New Zealand_Kauwahaia Island_Ardenna carneipes_New Zealand_GLS_2009-2012.csv","Ardenna carneipes","New Zealand","Kauwahaia Island","New Zealand","Kauwahaia Island, New Zealand","Ardenna carneipes_New Zealand"
"Ardenna carneipes_New Zealand_Lady Alice_1257.csv","Ardenna carneipes","New Zealand","Lady Alice","New Zealand","Lady Alice, New Zealand","Ardenna carneipes_New Zealand"
"Ardenna carneipes_New Zealand_Ohinau Island_1259.csv","Ardenna carneipes","New Zealand","Ohinau Island","New Zealand","Ohinau Island, New Zealand","Ardenna carneipes_New Zealand"
"Ardenna carneipes_New Zealand_Titi Island_1258.csv","Ardenna carneipes","New Zealand","Titi Island","New Zealand","Titi Island, New Zealand","Ardenna carneipes_New Zealand"
"Ardenna carneipes_Western Australia_Breaksea Island_668.csv","Ardenna carneipes","Western Australia","Breaksea Island","Breaksea Island","Breaksea Island, Western Australia","Ardenna carneipes_Breaksea Island"
"Ardenna creatopus_Isla Mocha and Juan Fernandez Archipelago_Juan Fernandez Islands_Ardenna creatopus_Isla Mocha and Juan Fernandez Archipelago_PTT_2002-2005.csv","Ardenna creatopus","Isla Mocha and Juan Fernandez Archipelago","Juan Fernandez Islands","Isla Mocha and Juan Fernandez","Juan Fernandez Islands, Isla Mocha and Juan Fernandez Archipelago","Ardenna creatopus_Isla Mocha and Juan Fernandez"
"Ardenna creatopus_Isla Mocha and Juan Fernandez Archipelago_Mocha Island_Ardenna creatopus_Isla Mocha and Juan Fernandez Archipelago_GPS_2015-2017.csv","Ardenna creatopus","Isla Mocha and Juan Fernandez Archipelago","Mocha Island","Isla Mocha and Juan Fernandez","Mocha Island, Isla Mocha and Juan Fernandez Archipelago","Ardenna creatopus_Isla Mocha and Juan Fernandez"
"Ardenna creatopus_Juan Fernandez Islands_Juan Fernandez Islands_Ardenna creatopus_Juan Fernandez Islands_PTT_2006-2006.csv","Ardenna creatopus","Juan Fernandez Islands","Juan Fernandez Islands","Isla Mocha and Juan Fernandez","Juan Fernandez Islands, Juan Fernandez Islands","Ardenna creatopus_Isla Mocha and Juan Fernandez"
"Ardenna creatopus_Mocha Island_Mocha Island_Ardenna creatopus_Mocha Island_PTT_2011-2015.csv","Ardenna creatopus","Mocha Island","Mocha Island","Isla Mocha and Juan Fernandez","Mocha Island, Mocha Island","Ardenna creatopus_Isla Mocha and Juan Fernandez"
"Ardenna gravis_Gough_Gough Island_1286.csv","Ardenna gravis","Gough","Gough Island","Gough","Gough Island, Gough","Ardenna gravis_Gough"
"Ardenna gravis_Gough_Gough Island_662.csv","Ardenna gravis","Gough","Gough Island","Gough","Gough Island, Gough","Ardenna gravis_Gough"
"Ardenna gravis_Gough_Gough Island_982.csv","Ardenna gravis","Gough","Gough Island","Gough","Gough Island, Gough","Ardenna gravis_Gough"
"Ardenna gravis_Tristan da Cunha_Inaccessible Island_663.csv","Ardenna gravis","Tristan da Cunha","Inaccessible Island","Tristan da Cunha","Inaccessible Island, Tristan da Cunha","Ardenna gravis_Tristan da Cunha"
"Ardenna gravis_Tristan da Cunha_Nightingale_1287.csv","Ardenna gravis","Tristan da Cunha","Nightingale","Tristan da Cunha","Nightingale, Tristan da Cunha","Ardenna gravis_Tristan da Cunha"
"Ardenna grisea_Bethells Beach_Kauwahaia Island_zoatrack_57.csv","Ardenna grisea","Bethells Beach","Kauwahaia Island","North Island","Kauwahaia Island, Bethells Beach","Ardenna grisea_North Island"
"Ardenna grisea_Falkland Islands (Islas Malvinas)_Kidney Island_1587.csv","Ardenna grisea","Falkland Islands (Islas Malvinas)","Kidney Island","Falkland Islands","Kidney Island, Falkland Islands (Islas Malvinas)","Ardenna grisea_Falkland Islands"
"Ardenna grisea_Falkland Islands (Islas Malvinas)_Kidney Island_628.csv","Ardenna grisea","Falkland Islands (Islas Malvinas)","Kidney Island","Falkland Islands","Kidney Island, Falkland Islands (Islas Malvinas)","Ardenna grisea_Falkland Islands"
"Ardenna grisea_Falkland Islands (Islas Malvinas)_Kidney Island_900.csv","Ardenna grisea","Falkland Islands (Islas Malvinas)","Kidney Island","Falkland Islands","Kidney Island, Falkland Islands (Islas Malvinas)","Ardenna grisea_Falkland Islands"
"Ardenna grisea_New Zealand_Codfish Island_518.csv","Ardenna grisea","New Zealand","Codfish Island","Codfish Island","Codfish Island, New Zealand","Ardenna grisea_Codfish Island"
"Ardenna grisea_New Zealand_Kauwahaia Island_Ardenna grisea_New Zealand_GLS_2011-2012_noSST.csv","Ardenna grisea","New Zealand","Kauwahaia Island","North Island","Kauwahaia Island, New Zealand","Ardenna grisea_North Island"
"Ardenna grisea_New Zealand_Kauwahaia Island_Ardenna grisea_New Zealand_GLS_2011-2012_SST.csv","Ardenna grisea","New Zealand","Kauwahaia Island","North Island","Kauwahaia Island, New Zealand","Ardenna grisea_North Island"
"Ardenna grisea_New Zealand_Mana Island_517.csv","Ardenna grisea","New Zealand","Mana Island","North Island","Mana Island, New Zealand","Ardenna grisea_North Island"
"Ardenna pacifica_Canard islet_Canard islet_1595.csv","Ardenna pacifica","Canard islet","Canard islet","New Calendonia","Canard islet, Canard islet","Ardenna pacifica_New Calendonia"
"Ardenna pacifica_Chesterfield Archipelago_Loop islet_1597.csv","Ardenna pacifica","Chesterfield Archipelago","Loop islet","New Calendonia","Loop islet, Chesterfield Archipelago","Ardenna pacifica_New Calendonia"
"Ardenna pacifica_Hawaii_Kauai_Hawaii_WTSH.csv","Ardenna pacifica","Hawaii","Kauai","Hawaii","Kauai, Hawaii","Ardenna pacifica_Hawaii"
"Ardenna pacifica_Heron Island_Heron Island_1625.csv","Ardenna pacifica","Heron Island","Heron Island","Heron Island","Heron Island, Heron Island","Ardenna pacifica_Heron Island"
"Ardenna pacifica_Mato islet_Mato islet_1594.csv","Ardenna pacifica","Mato islet","Mato islet","New Calendonia","Mato islet, Mato islet","Ardenna pacifica_New Calendonia"
"Ardenna pacifica_Mauritius_Round_Ardenna pacifica_Mauritius_GLS_2011-2013.csv","Ardenna pacifica","Mauritius","Round","Mauritius","Round, Mauritius","Ardenna pacifica_Mauritius"
"Ardenna pacifica_Pindaï_Pindaï_1598.csv","Ardenna pacifica","Pindaï","Pindaï","New Calendonia","Pindaï, Pindaï","Ardenna pacifica_New Calendonia"
"Ardenna pacifica_Reunion Island_Reunion_712.csv","Ardenna pacifica","Reunion Island","Reunion","Reunion","Reunion, Reunion Island","Ardenna pacifica_Reunion"
"Ardenna pacifica_Reunion Island_Reunion_713.csv","Ardenna pacifica","Reunion Island","Reunion","Reunion","Reunion, Reunion Island","Ardenna pacifica_Reunion"
"Ardenna pacifica_Reunion_Reunion_Ardenna pacifica_Reunion_GLS_2009-2012.csv","Ardenna pacifica","Reunion","Reunion","Reunion","Reunion, Reunion","Ardenna pacifica_Reunion"
"Ardenna pacifica_Seychelles_Aride_705.csv","Ardenna pacifica","Seychelles","Aride","Seychelles","Aride, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_Aride_706.csv","Ardenna pacifica","Seychelles","Aride","Seychelles","Aride, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_Aride_GerardRocamora_WTS.csv","Ardenna pacifica","Seychelles","Aride","Seychelles","Aride, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_Cousin_708.csv","Ardenna pacifica","Seychelles","Cousin","Seychelles","Cousin, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_Cousin_709.csv","Ardenna pacifica","Seychelles","Cousin","Seychelles","Cousin, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_Cousin_Ardenna pacifica_Seychelles_GLS_2009-2010.csv","Ardenna pacifica","Seychelles","Cousin","Seychelles","Cousin, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_D Arros_710.csv","Ardenna pacifica","Seychelles","D Arros","Seychelles","D Arros, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Seychelles_D Arros_711.csv","Ardenna pacifica","Seychelles","D Arros","Seychelles","D Arros, Seychelles","Ardenna pacifica_Seychelles"
"Ardenna pacifica_Tiam'bouene islet_Tiam'bouene islet_1596.csv","Ardenna pacifica","Tiam'bouene islet","Tiam'bouene islet","New Calendonia","Tiam'bouene islet, Tiam'bouene islet","Ardenna pacifica_New Calendonia"
"Ardenna pacifica_Western Australia_Lowendal Islands & Houtman Abrolhos_Ardenna pacifica_Western Australia_GLS_2010-2013.csv","Ardenna pacifica","Western Australia","Lowendal Islands & Houtman Abrolhos","Lowendal & Houtman Abrolhoss","Lowendal Islands & Houtman Abrolhos, Western Australia","Ardenna pacifica_Lowendal & Houtman Abrolhoss"
"Ardenna tenuirostris_Australia_French Island_466.csv","Ardenna tenuirostris","Australia","French Island","SE Australia","French Island, Australia","Ardenna tenuirostris_SE Australia"
