"scientific_name","common_name","population","individuals","locations","unique_months","n_years","year_range","mean_year","years"
"Ardenna bulleri","Buller's Shearwater","Aorangi Island",8,5640,23,3,"2011-2013",2012,"2011_2012_2013"
"Ardenna carneipes","Flesh-footed Shearwater","Breaksea Island",5,117,3,1,"2008-2008",2008,"2008"
"Ardenna carneipes","Flesh-footed Shearwater","Lord Howe Island",29,9916,27,3,"2005-2008",2007,"2008_2007_2005"
"Ardenna carneipes","Flesh-footed Shearwater","New Zealand",62,6322,42,8,"2006-2014",2010,"2006_2007_2009_2010_2011_2012_2014_2013"
"Ardenna creatopus","Pink-footed Shearwater","Isla Mocha and Juan Fernandez",102,8829,42,11,"2002-2017",2009,"2002_2003_2004_2005_2016_2017_2015_2006_2011_2012_2013"
"Ardenna gravis","Great Shearwater","Gough",76,45200,69,7,"2008-2014",2011,"2014_2013_2009_2010_2008_2012_2011"
"Ardenna gravis","Great Shearwater","Tristan da Cunha",21,6347,16,4,"2009-2016",2012,"2009_2010_2015_2016"
"Ardenna grisea","Sooty Shearwater","Codfish Island",21,5714,22,2,"2005-2006",2006,"2005_2006"
"Ardenna grisea","Sooty Shearwater","Falkland Islands",45,25209,42,5,"2007-2018",2012,"2018_2017_2008_2009_2007"
"Ardenna grisea","Sooty Shearwater","North Island",15,5698,35,4,"2005-2012",2010,"2010_2011_2012_2005"
"Ardenna pacifica","Wedge-tailed Shearwater","Hawaii",304,2897,8,3,"2013-2015",2014,"2013_2014_2015"
"Ardenna pacifica","Wedge-tailed Shearwater","Heron Island",80,749,9,2,"2013-2014",2014,"2013_2014"
"Ardenna pacifica","Wedge-tailed Shearwater","Lowendal and Houtman Abrolhoss",6,3399,31,4,"2010-2013",2012,"2010_2011_2012_2013"
"Ardenna pacifica","Wedge-tailed Shearwater","Mauritius",14,5966,23,3,"2011-2013",2012,"2011_2012_2013"
"Ardenna pacifica","Wedge-tailed Shearwater","New Calendonia",123,1190,5,3,"2017-2019",2018,"2017_2019_2018"
"Ardenna pacifica","Wedge-tailed Shearwater","Reunion",23,8041,25,4,"2009-2012",2010,"2010_2009_2011_2012"
"Ardenna pacifica","Wedge-tailed Shearwater","Seychelles",84,26856,48,7,"2007-2014",2010,"2007_2013_2014_2010_2008_2011_2009"
"Ardenna tenuirostris","Short-tailed Shearwater","SE Australia",114,12348,33,10,"1997-2014",2008,"1997_2012_2013_2014_2010_2008_2007_2011_2006_2005"
"Bulweria bulwerii","Bulwer's Petrel","Azores",12,5524,37,6,"2007-2013",2010,"2007_2008_2010_2011_2012_2013"
"Bulweria bulwerii","Bulwer's Petrel","Canarias",37,20565,35,4,"2010-2013",2012,"2010_2011_2012_2013"
"Bulweria bulwerii","Bulwer's Petrel","Cape Verde",165,19338,76,9,"2007-2019",2012,"2011_2012_2010_2019_2018_2017_2007_2008_2009"
"Bulweria bulwerii","Bulwer's Petrel","Madeira",32,5803,31,4,"2009-2013",2011,"2010_2013_2012_2009"
"Calonectris borealis","Cory's Shearwater","Azores",124,40241,91,13,"2002-2018",2011,"2010_2015_2018_2017_2007_2002_2003_2005_2011_2012_2013_2014_2016"
"Calonectris borealis","Cory's Shearwater","Berlengas",108,12941,38,8,"2006-2015",2011,"2011_2012_2010_2014_2013_2015_2007_2006"
"Calonectris borealis","Cory's Shearwater","Canarias",476,165111,133,15,"2002-2016",2009,"2006_2010_2007_2012_2015_2011_2013_2003_2002_2004_2005_2008_2009_2014_2016"
"Calonectris borealis","Cory's Shearwater","Madeira",252,41167,69,10,"2006-2015",2010,"2011_2014_2012_2015_2009_2010_2013_2008_2006_2007"
"Calonectris diomedea","Scopoli's Shearwater","Balearic Archipelago",265,47965,93,11,"2002-2016",2010,"2015_2016_2014_2007_2013_2010_2012_2002_2003_2009_2011"
"Calonectris diomedea","Scopoli's Shearwater","Chafarinas",44,5238,51,8,"2000-2013",2008,"2001_2000_2007_2011_2008_2009_2012_2013"
"Calonectris diomedea","Scopoli's Shearwater","La Maddalena Archipelago",88,4880,16,4,"2011-2019",2015,"2013_2011_2018_2019"
"Calonectris diomedea","Scopoli's Shearwater","Linosa",295,3441,18,6,"2008-2017",2013,"2008_2012_2009_2017_2016_2015"
"Calonectris diomedea","Scopoli's Shearwater","Malta",64,10154,44,8,"2009-2016",2012,"2013_2012_2014_2010_2011_2015_2016_2009"
"Calonectris diomedea","Scopoli's Shearwater","Tremiti Archipelago",26,242,4,2,"2009-2010",2010,"2009_2010"
"Calonectris diomedea","Scopoli's Shearwater","Tuscany Archipelago",21,74,2,2,"2010-2011",2010,"2010_2011"
"Calonectris diomedea","Scopoli's Shearwater","Zembra",17,11638,25,3,"2014-2016",2015,"2014_2015_2016"
"Calonectris edwardsii","Cape Verde Shearwater","Cape Verde",392,68123,117,14,"2006-2019",2012,"2017_2018_2019_2015_2014_2011_2012_2013_2010_2006_2007_2008_2009_2016"
"Calonectris leucomelas","Streaked Shearwater","Iwate",86,58101,27,4,"2006-2011",2008,"2011_2007_2006_2008"
"Calonectris leucomelas","Streaked Shearwater","Korea",9,1641,11,3,"2008-2010",2009,"2008_2009_2010"
"Calonectris leucomelas","Streaked Shearwater","Mikura",12,17679,29,5,"2004-2008",2006,"2005_2004_2007_2006_2008"
"Calonectris leucomelas","Streaked Shearwater","Niigata",24,412,3,1,"2011-2011",2011,"2011"
"Daption capense","Cape Petrel","Davis",13,601,3,2,"2015-2016",2016,"2015_2016"
"Daption capense","Cape Petrel","Pointe Geologie",6,1554,6,1,"2011-2011",2011,"2011"
"Fulmarus glacialis","Northern Fulmar","Bjørnøya",38,12454,41,6,"2014-2019",2016,"2016_2015_2017_2018_2014_2019"
"Fulmarus glacialis","Northern Fulmar","Breidafjordur",79,56848,55,6,"2014-2019",2016,"2017_2018_2019_2016_2014_2015"
"Fulmarus glacialis","Northern Fulmar","Cape Vera",5,1641,18,3,"2004-2006",2005,"2004_2005_2006"
"Fulmarus glacialis","Northern Fulmar","Faroe Islands",19,10573,34,4,"2015-2018",2016,"2016_2017_2018_2015"
"Fulmarus glacialis","Northern Fulmar","Jan Mayen",48,29700,54,6,"2014-2019",2016,"2014_2015_2016_2017_2018_2019"
"Fulmarus glacialis","Northern Fulmar","Norway",15,12730,69,8,"2011-2019",2015,"2012_2013_2011_2017_2018_2019_2016_2015"
"Fulmarus glacialis","Northern Fulmar","Scotland",243,178021,141,14,"2006-2019",2012,"2011_2012_2013_2014_2006_2009_2010_2008_2007_2019_2018_2017_2016_2015"
"Fulmarus glacialis","Northern Fulmar","Svalbard",13,4349,31,5,"2015-2019",2017,"2016_2017_2018_2019_2015"
"Fulmarus glacialoides","Southern Fulmar","Davis",16,463,4,2,"2015-2016",2016,"2015_2016"
"Fulmarus glacialoides","Southern Fulmar","Pointe Geologie",17,4771,20,3,"2008-2012",2010,"2011_2012_2008"
"Halobaena caerulea","Blue Petrel","Kerguelen",16,6013,12,2,"2011-2012",2012,"2012_2011"
"Halobaena caerulea","Blue Petrel","South Georgia",19,3155,13,2,"2010-2011",2010,"2010_2011"
"Hydrobates castro","Band-rumped Storm-petrel","Azores",12,134,4,2,"2019-2020",2020,"2019_2020"
"Hydrobates castro","Band-rumped Storm-petrel","Berlengas",5,983,22,3,"2016-2018",2017,"2016_2017_2018"
"Hydrobates castro","Band-rumped Storm-petrel","St Helena",36,497,7,3,"2017-2019",2018,"2017_2018_2019"
"Hydrobates furcatus","Fork-tailed Storm-petrel","Gillam Island",6,1636,15,2,"2016-2017",2016,"2016_2017"
"Hydrobates jabejabe","Cape Verde Storm-petrel","Cape Verde",58,994,9,2,"2018-2019",2018,"2019_2018"
"Hydrobates leucorhous","Leach's Storm-petrel","Gillam Island",3,1397,13,2,"2016-2017",2016,"2016_2017"
"Hydrobates leucorhous","Leach's Storm-petrel","Newfoundland",44,463,6,2,"2016-2017",2016,"2016_2017"
"Hydrobates leucorhous","Leach's Storm-petrel","Nova Scotia",112,2899,14,6,"2012-2019",2015,"2017_2013_2012_2014_2015_2019"
"Hydrobates monteiroi","Monteiro's Storm-petrel","Azores",66,918,9,3,"2013-2019",2017,"2019_2018_2013"
"Hydrobates pelagicus","European Storm-petrel","Benidorm Island",37,185,2,1,"2019-2019",2019,"2019"
"Hydrobates pelagicus","European Storm-petrel","Capo caccia",7,24,2,1,"2019-2019",2019,"2019"
"Hydrobates pelagicus","European Storm-petrel","Ireland",7,28,1,1,"2016-2016",2016,"2016"
"Hydrobates pelagicus","European Storm-petrel","Malta",7,2574,9,2,"2016-2017",2016,"2017_2016"
"Hydrobates pelagicus","European Storm-petrel","Shetland",50,155,8,5,"2014-2018",2016,"2018_2014_2015_2016_2017"
"Oceanites oceanicus","Wilson's Storm-petrel","South Shetland Islands",5,36,1,1,"2020-2020",2020,"2020"
"Pachyptila belcheri","Slender-billed Prion","Kerguelen",18,8995,12,1,"2012-2012",2012,"2012"
"Pachyptila belcheri","Slender-billed Prion","New Island",41,16757,36,5,"2009-2013",2011,"2013_2012_2011_2010_2009"
"Pachyptila desolata","Antarctic Prion","Kerguelen",11,5485,13,2,"2012-2013",2012,"2012_2013"
"Pachyptila desolata","Antarctic Prion","South Georgia",20,6946,26,3,"2010-2012",2011,"2010_2011_2012"
"Pachyptila macgillivrayi","MacGillivray's Prion","Gough",8,3743,20,3,"2014-2016",2015,"2014_2015_2016"
"Pachyptila turtur","Fairy Prion","Dunedin",4,1398,14,2,"2011-2012",2012,"2011_2012"
"Pachyptila turtur","Fairy Prion","Kanowna Island",33,238,6,3,"2017-2019",2018,"2017_2018_2019"
"Pachyptila vittata","Broad-billed Prion","Gough",18,9097,36,5,"2009-2016",2013,"2014_2015_2016_2010_2009"
"Pachyptila vittata","Broad-billed Prion","Tristan da Cunha",4,2041,12,2,"2014-2015",2014,"2015_2014"
"Pagodroma nivea","Snow Petrel","Pointe Geologie",63,7012,16,4,"2011-2016",2014,"2011_2012_2015_2016"
"Pelagodroma marina","White-faced Storm-petrel","Cape Verde",14,186,2,1,"2019-2019",2019,"2019"
"Pelagodroma marina","White-faced Storm-petrel","Madeira",48,580,5,2,"2018-2019",2018,"2019_2018"
"Pelecanoides garnotii","Peruvian Diving-petrel","Paracas",12,22,4,3,"2009-2012",2010,"2009_2012_2010"
"Pelecanoides georgicus","South Georgia Diving-petrel","South Georgia",10,999,12,1,"2011-2011",2011,"2011"
"Pelecanoides urinatrix","Common Diving-petrel","Kanowna Island",43,131,7,3,"2017-2019",2018,"2018_2017_2019"
"Pelecanoides urinatrix","Common Diving-petrel","North Island",18,3267,24,4,"2010-2016",2012,"2010_2011_2012_2016"
"Pelecanoides urinatrix","Common Diving-petrel","South Georgia",10,967,12,2,"2010-2011",2010,"2010_2011"
"Pelecanoides whenuahouensis","Whenua Hou Diving-petrel","Codfish Island",38,19972,36,5,"2015-2019",2017,"2016_2015_2018_2019_2017"
"Procellaria aequinoctialis","White-chinned Petrel","Antipodes Islands",14,8059,14,2,"2008-2009",2008,"2008_2009"
"Procellaria aequinoctialis","White-chinned Petrel","Crozet",38,3122,18,5,"1996-2009",2003,"2007_2008_1997_2009_1996"
"Procellaria aequinoctialis","White-chinned Petrel","Kerguelen",54,9480,40,4,"2006-2009",2008,"2006_2007_2008_2009"
"Procellaria aequinoctialis","White-chinned Petrel","Prince Edward Islands",30,17017,39,5,"2009-2013",2011,"2009_2011_2012_2010_2013"
"Procellaria aequinoctialis","White-chinned Petrel","South Georgia",56,9584,29,8,"1996-2015",2005,"2015_2014_2010_2009_1997_1998_1996_2003"
"Procellaria cinerea","Grey Petrel","Antipodes Islands",18,8781,12,2,"2009-2010",2010,"2009_2010"
"Procellaria cinerea","Grey Petrel","Gough",30,12038,29,3,"2014-2016",2015,"2015_2016_2014"
"Procellaria cinerea","Grey Petrel","Kerguelen",19,17444,67,7,"2007-2013",2010,"2008_2009_2010_2011_2012_2013_2007"
"Procellaria cinerea","Grey Petrel","Prince Edward Islands",9,9350,51,6,"2009-2016",2013,"2013_2014_2015_2009_2010_2016"
"Procellaria conspicillata","Spectacled Petrel","Tristan da Cunha",9,2240,12,4,"2006-2010",2008,"2006_2007_2009_2010"
"Procellaria parkinsoni","Black Petrel","Great Barrier Island",46,2182,15,5,"2005-2009",2007,"2005_2006_2007_2008_2009"
"Procellaria westlandica","Westland Petrel","Punakaiki",82,4088,29,8,"1995-2016",2008,"1996_1995_2011_2015_2012_2016_2007_2008"
"Pseudobulweria aterrima","Mascarene Petrel","Reunion",14,3963,15,2,"2017-2018",2018,"2017_2018"
"Pseudobulweria rostrata","Tahiti Petrel","New Calendonia",21,219,9,3,"2017-2019",2018,"2017_2018_2019"
"Pterodroma arminjoniana","Trindade Petrel","Round Island",121,57501,39,5,"2009-2013",2011,"2010_2012_2013_2011_2009"
"Pterodroma arminjoniana","Trindade Petrel","Trindade Island",12,2374,14,3,"2007-2014",2011,"2014_2013_2007"
"Pterodroma axillaris","Chatham Petrel","Chatham Islands",21,9219,14,2,"2009-2010",2010,"2009_2010"
"Pterodroma baraui","Barau's Petrel","Reunion",27,5047,19,4,"2008-2011",2010,"2011_2010_2009_2008"
"Pterodroma cahow","Bermuda Petrel","Bermuda Island",27,2976,27,3,"2009-2020",2013,"2020_2009_2010"
"Pterodroma cervicalis","White-necked Petrel","Phillip Island",22,1286,6,2,"2018-2019",2018,"2018_2019"
"Pterodroma cookii","Cook's Petrel","Codfish Island",11,7693,16,3,"2007-2009",2008,"2009_2008_2007"
"Pterodroma cookii","Cook's Petrel","Little Barrier Island",11,14192,25,3,"2007-2009",2008,"2008_2009_2007"
"Pterodroma deserta","Desertas Petrel","Madeira",58,32820,70,9,"2008-2017",2012,"2012_2013_2008_2009_2011_2010_2017_2016_2015"
"Pterodroma feae","Cape Verde Petrel","Cape Verde",23,4057,46,8,"2007-2019",2013,"2007_2008_2009_2010_2015_2019_2017_2018"
"Pterodroma gouldi","Grey-faced Petrel","Bethells Beach",19,229,5,3,"2012-2014",2013,"2012_2014_2013"
"Pterodroma hasitata","Black-capped Petrel","Sierra de Bahoruco",6,1040,10,2,"2014-2018",2016,"2014_2018"
"Pterodroma incerta","Atlantic Petrel","Gough",18,8009,36,5,"2010-2014",2012,"2014_2010_2011_2012_2013"
"Pterodroma inexpectata","Mottled Petrel","Lake HaurokoPetrel Island",9,4191,23,3,"2009-2011",2010,"2010_2009_2011"
"Pterodroma lessonii","White-headed Petrel","Adams Island",15,12826,37,4,"2011-2014",2012,"2011_2012_2013_2014"
"Pterodroma leucoptera","White-winged Petrel","Cabbage Tree Island",55,9156,15,3,"2010-2012",2011,"2011_2012_2010"
"Pterodroma leucoptera","White-winged Petrel","New Caledonia",7,3521,13,2,"2010-2011",2010,"2010_2011"
"Pterodroma macroptera","Great-winged Petrel","Prince Edward Islands",22,697,8,4,"2012-2018",2015,"2012_2017_2018_2013"
"Pterodroma madeira","Zino's Petrel","Madeira",12,4624,37,4,"2007-2010",2008,"2009_2008_2010_2007"
"Pterodroma magentae","Magenta Petrel","Chatham Islands",24,13906,36,5,"2008-2012",2010,"2011_2012_2008_2009_2010"
"Pterodroma mollis","Soft-plumaged Petrel","Antipodes",16,8003,25,3,"2011-2013",2012,"2011_2012_2013"
"Pterodroma mollis","Soft-plumaged Petrel","Gough",9,1697,39,6,"2009-2014",2012,"2014_2011_2010_2009_2012_2013"
"Pterodroma neglecta","Kermadec Petrel","Phillip Island",9,176,1,1,"2020-2020",2020,"2020"
"Pterodroma nigripennis","Black-winged Petrel","Chatham Islands",5,1188,13,2,"2009-2010",2010,"2009_2010"
"Pterodroma nigripennis","Black-winged Petrel","Phillip Island",37,1136,5,2,"2018-2019",2018,"2018_2019"
"Pterodroma phaeopygia","Galapagos Petrel","Galapagos",12,984,8,3,"2009-2011",2010,"2009_2010_2011"
"Pterodroma pycrofti","Pycroft's Petrel","Red Mercury Island",6,3472,13,3,"2009-2011",2010,"2009_2010_2011"
"Pterodroma sandwichensis","Hawaiian Petrel","Hawaii",57,2795,25,9,"2006-2019",2013,"2017_2018_2019_2016_2006_2007_2008_2013_2014"
"Pterodroma solandri","Providence Petrel","Lord Howe Island",5,1729,8,2,"2007-2008",2008,"2007_2008"
"Pterodroma ultima","Murphy's Petrel","Henderson Island",28,13730,27,4,"2011-2015",2013,"2011_2012_2013_2015"
"Puffinus assimilis","Little Shearwater","E of Aukland",9,5445,13,2,"2011-2012",2012,"2011_2012"
"Puffinus assimilis","Little Shearwater","Lord Howe Island",5,1122,11,2,"2010-2011",2010,"2010_2011"
"Puffinus bailloni","Tropical Shearwater","Seychelles",17,4779,24,3,"2012-2014",2013,"2012_2013_2014"
"Puffinus gavia","Fluttering Shearwater","E of Aukland",3,1235,13,2,"2011-2012",2012,"2011_2012"
