"scientific_name","common_name","individuals","locations","n_pops","populations","mean_tracking_year"
"Ardenna bulleri","Buller's Shearwater",8,5640,1,"Aorangi Island",2012
"Ardenna carneipes","Flesh-footed Shearwater",96,16355,3,"Breaksea Island_Lord Howe Island_New Zealand",2008
"Ardenna creatopus","Pink-footed Shearwater",102,8829,1,"Isla Mocha and Juan Fernandez",2009
"Ardenna gravis","Great Shearwater",97,51547,2,"Gough_Tristan da Cunha",2012
"Ardenna grisea","Sooty Shearwater",81,36621,3,"Codfish Island_Falkland Islands_North Island",2009
"Ardenna pacifica","Wedge-tailed Shearwater",634,49098,7,"Hawaii_Heron Island_Lowendal & Houtman Abrolhoss_Mauritius_New Calendonia_Reunion_Seychelles",2013
"Ardenna tenuirostris","Short-tailed Shearwater",114,12348,1,"SE Australia",2008
"Bulweria bulwerii","Bulwer's Petrel",246,51230,4,"Azores_Canarias_Cape Verde_Madeira",2011
"Calonectris borealis","Cory's Shearwater",960,259460,4,"Azores_Berlengas_Canarias_Madeira",2010
"Calonectris diomedea","Scopoli's Shearwater",820,83632,8,"Balearic Archipelago_Chafarinas_La Maddalena Archipelago_Linosa_Malta_Tremiti Archipelago_Tuscany Archipelago_Zembra",2012
"Calonectris edwardsii","Cape Verde Shearwater",392,68123,1,"Cape Verde",2012
"Calonectris leucomelas","Streaked Shearwater",131,77833,4,"Iwate_Korea_Mikura_Niigata",2008
"Daption capense","Cape Petrel",19,2155,2,"Davis_Pointe Geologie",2013
"Fulmarus glacialis","Northern Fulmar",460,306316,8,"Bjørnøya_Breidafjordur_Cape Vera_Faroe Islands_Jan Mayen_Norway_Scotland_Svalbard",2014
"Fulmarus glacialoides","Southern Fulmar",33,5234,2,"Davis_Pointe Geologie",2013
"Halobaena caerulea","Blue Petrel",35,9168,2,"Kerguelen_South Georgia",2011
"Hydrobates castro","Band-rumped Storm-petrel",53,1614,3,"Azores_Berlengas_St Helena",2018
"Hydrobates furcatus","Fork-tailed Storm-petrel",6,1636,1,"Gillam Island",2016
"Hydrobates jabejabe","Cape Verde Storm-petrel",58,994,1,"Cape Verde",2018
"Hydrobates leucorhous","Leach's Storm-petrel",159,4759,3,"Gillam Island_Newfoundland_Nova Scotia",2016
"Hydrobates monteiroi","Monteiro's Storm-petrel",66,918,1,"Azores",2017
"Hydrobates pelagicus","European Storm-petrel",108,2966,5,"Benidorm Island_Capo caccia_Ireland_Malta_Shetland",2017
"Oceanites oceanicus","Wilson's Storm-petrel",5,36,1,"South Shetland Islands",2020
"Pachyptila belcheri","Slender-billed Prion",59,25752,2,"Kerguelen_New Island",2012
"Pachyptila desolata","Antarctic Prion",31,12431,2,"Kerguelen_South Georgia",2012
"Pachyptila macgillivrayi","MacGillivray's Prion",8,3743,1,"Gough",2015
"Pachyptila turtur","Fairy Prion",37,1636,2,"Dunedin_Kanowna Island",2015
