species,population,month,sp_pop,sp_pop_month,exposure_score
Ardenna bulleri,Aorangi Island,1,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_01,3.5131
Ardenna bulleri,Aorangi Island,1,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_01,3.5131
Ardenna bulleri,Aorangi Island,2,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_02,2.7719
Ardenna bulleri,Aorangi Island,3,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_03,2.4202
Ardenna bulleri,Aorangi Island,4,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_04,1.7383
Ardenna bulleri,Aorangi Island,5,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_05,21.935
Ardenna bulleri,Aorangi Island,6,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_06,56.7441
Ardenna bulleri,Aorangi Island,7,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_07,39.1388
Ardenna bulleri,Aorangi Island,8,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_08,29.7363
Ardenna bulleri,Aorangi Island,9,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_09,36.0975
Ardenna bulleri,Aorangi Island,10,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_10,4.5159
Ardenna bulleri,Aorangi Island,11,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_11,3.5672
Ardenna bulleri,Aorangi Island,12,Ardenna bulleri_Aorangi Island,Ardenna bulleri_Aorangi Island_12,4.0332
Ardenna carneipes,Breaksea Island,3,Ardenna carneipes_Breaksea Island,Ardenna carneipes_Breaksea Island_03,16.6065
Ardenna carneipes,Breaksea Island,4,Ardenna carneipes_Breaksea Island,Ardenna carneipes_Breaksea Island_04,14.3623
Ardenna carneipes,Breaksea Island,5,Ardenna carneipes_Breaksea Island,Ardenna carneipes_Breaksea Island_05,9.941
Ardenna carneipes,Lord Howe Island,1,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_01,3.6501
Ardenna carneipes,Lord Howe Island,2,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_02,4.3601
Ardenna carneipes,Lord Howe Island,3,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_03,3.3238
Ardenna carneipes,Lord Howe Island,4,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_04,12.8039
Ardenna carneipes,Lord Howe Island,5,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_05,52.5992
Ardenna carneipes,Lord Howe Island,6,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_06,69.0258
Ardenna carneipes,Lord Howe Island,7,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_07,50.8408
Ardenna carneipes,Lord Howe Island,8,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_08,49.0942
Ardenna carneipes,Lord Howe Island,9,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_09,13.8577
Ardenna carneipes,Lord Howe Island,10,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_10,6.076
Ardenna carneipes,Lord Howe Island,11,Ardenna carneipes_Lord Howe Island,Ardenna carneipes_Lord Howe Island_11,4.8162
Ardenna carneipes,New Zealand,1,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_01,4.9055
Ardenna carneipes,New Zealand,2,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_02,5.6872
Ardenna carneipes,New Zealand,3,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_03,2.6528
Ardenna carneipes,New Zealand,4,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_04,21.6356
Ardenna carneipes,New Zealand,5,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_05,58.2899
Ardenna carneipes,New Zealand,6,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_06,57.3744
Ardenna carneipes,New Zealand,7,Ardenna carneipes_New Zealand,Ardenna carneipes_New Zealand_07,45.0234
