species_pop,breeding,nonbreeding
Ardenna bulleri_Aorangi Island,01_02_03_04_10_11_12,05_06_07_08_09
Ardenna carneipes_Breaksea Island,03_04_05,NA
Ardenna carneipes_Lord Howe Island,01_02_03_04_10_11,05_06_07_08_09
Ardenna carneipes_New Zealand,01_02_03_04_10_11_12,05_06_07_08_09
Ardenna creatopus_Isla Mocha and Juan Fernandez,01_02_03_04_11_12,05_06_07_08_09_10
Ardenna gravis_Gough,01_02_03_04_10_11_12,05_06_07_08_09
Ardenna gravis_Tristan da Cunha,01_02_11_12,03_04_05_06_07_08_09_10
Ardenna grisea_Codfish Island,01_02_03_04_10_11_12,05_06_07_08_09
Ardenna grisea_Falkland Islands,01_02_03_10_11_12,04_05_06_07_08_09
Ardenna grisea_North Island,01_02_03_10_11_12,04_05_06_07_08_09
Ardenna pacifica_Hawaii,08_09_10,NA
Ardenna pacifica_Heron Island,03_02_04_05_06_07_08,NA
Ardenna pacifica_Lowendal and Houtman Abrolhoss,01_02_03_04_12,05_06_07_08_09_10_11
Ardenna pacifica_Mauritius,01_02_03_04_08_09_10_11_12,05_06_07
Ardenna pacifica_New Calendonia,04_03,NA
Ardenna pacifica_Reunion,01_02_03_04_09_10_11_12,05_06_07_08
Ardenna pacifica_Seychelles,01_02_07_08_09_10_11_12,03_04_05_06
Ardenna tenuirostris_SE Australia,01_02_03_04_10_11_12,05_06_07_08_09
Bulweria bulwerii_Azores,05_06_07_08_09,01_02_04_10_11_12
Bulweria bulwerii_Canarias,04_05_06_07_08_09,01_02_10_11_12
Bulweria bulwerii_Cape Verde,03_04_05_06_07_08,01_02_09_10_11_12
Bulweria bulwerii_Madeira,03_04_05_06_07_08_09,01_02_10_11_12
Calonectris borealis_Azores,04_05_06_07_08_09_10_11,01_02_03_12
Calonectris borealis_Berlengas,04_05_06_07_08_09_10,01_02_03_11_12
Calonectris borealis_Canarias,03_04_05_06_07_08_09_10,01_02_11_12
Calonectris borealis_Madeira,04_05_06_07_08_09_10,01_02_03_11_12
Calonectris diomedea_Balearic Archipelago,04_05_06_07_08_09_10,01_02_11_12
Calonectris diomedea_Chafarinas,04_05_06_07_08_09_10,01_02_11_12
Calonectris diomedea_La Maddalena Archipelago,03_04_05_06_07_08_09_10,01_02_11_12
Calonectris diomedea_Linosa,07_06_08_03_09,NA
Calonectris diomedea_Malta,04_05_06_07_08_09_10,01_02_03_11_12
Calonectris diomedea_Tremiti Archipelago,07_06,NA
Calonectris diomedea_Tuscany Archipelago,08_07,NA
