species_pop,tracks_breeding,tracks_nonbreeding,ref_breeding,ref_nonbreeding,breeding,nonbreeding,br_exposure,nonbr_exposure,br_n,nonbr_n
Ardenna bulleri_Aorangi Island,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,3.2591125,36.73034,7,5
Ardenna carneipes_Breaksea Island,03_04_05,NA,03_04_05,NA,03_04_05,NA,13.6366,NA,3,1
Ardenna carneipes_Lord Howe Island,01_02_03_04_10_11,05_06_07_08_09,01_02_03_04_10_11,05_06_07_08_09,01_02_03_04_10_11,05_06_07_08_09,5.83835,47.08354,6,5
Ardenna carneipes_New Zealand,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,7.3762,44.91864,7,5
Ardenna creatopus_Isla Mocha and Juan Fernandez,01_02_03_04_11_12,05_06_07_08_09_10,01_02_03_04_05_10_11_12,06_07_08_09,01_02_03_04_05_11_12,06_07_08_09_10,0.582885714,3.61246,7,5
Ardenna gravis_Gough,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,13.70384286,3.25048,7,5
Ardenna gravis_Tristan da Cunha,01_02_11_12,03_04_05_06_07_08_09_10,01_02_03_04_10_11_12,05_06_07_08_09,01_02_11_12,03_04_05_06_07_08_09_10,8.35155,4.539125,4,8
Ardenna grisea_Codfish Island,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,6.393628571,23.03304,7,5
Ardenna grisea_Falkland Islands,01_02_03_10_11_12,04_05_06_07_08_09,01_02_03_10_11_12,04_05_06_07_08_09,01_02_03_10_11_12,04_05_06_07_08_09,0.96535,2.63565,6,6
Ardenna grisea_North Island,01_02_03_04_10_11_12,05_06_07_08_09,01_02_03_04_05_10_11_12,06_07_08_09,01_02_03_04_10_11_12,05_06_07_08_09,7.229042857,25.21962,7,5
Ardenna pacifica_Hawaii,08_09_10,NA,08_09_10,NA,08_09_10,NA,73.42566667,NA,3,1
Ardenna pacifica_Heron Island,03_02_04_05_06_07_08,NA,03_02_04_05_06_07_08,NA,03_02_04_05_06_07_08,NA,6.461385714,NA,7,1
Ardenna pacifica_Lowendal and Houtman Abrolhoss,01_02_12,03_04_05_06_07_08_09_10_11,01_02_03_11_12,04_05_06_07_08_09_10,01_02_03_11_12,04_05_06_07_08_09_10,5.14252,10.42324286,5,7
