"species","species_exposure","unweighted_mean","n_pops","seasons"
"Ardenna bulleri",16.1326615384615,16.1326615384615,1,1
"Ardenna carneipes",21.1014130038916,20.4138823232323,3,1
"Ardenna creatopus",1.84520833333333,1.84520833333333,1,1
"Ardenna gravis",6.54834364707552,7.57910416666666,2,1
"Ardenna grisea",7.69590127873233,9.9507777777778,3,1
"Ardenna pacifica",16.9654908163265,16.9654908163265,7,1
"Ardenna tenuirostris",3.85119166666667,3.85119166666667,1,1
"Bulweria bulwerii",9.54060502359661,10.1380191287879,4,1
"Calonectris borealis",8.73487661748848,7.90708333333334,4,1
"Calonectris diomedea",359.919448100971,324.017932954545,8,1
"Calonectris edwardsii",6.147975,6.147975,1,1
"Calonectris leucomelas",34.4486311516181,42.281,4,1
"Daption capense",0.592744938749194,0.311875,2,1
"Fulmarus glacialis",1.12905804924243,1.12905804924243,8,1
"Fulmarus glacialoides",0.00445319058272079,0.0441035714285715,2,1
"Halobaena caerulea",0.180106818181818,0.144491666666666,2,1
"Hydrobates castro",6.86550301333521,6.22881388888889,3,1
"Hydrobates furcatus",4.935475,4.935475,1,1
"Hydrobates jabejabe",0.3317,0.3317,1,0.5
"Hydrobates leucorhous",2.37563916205711,3.1766,3,1
"Hydrobates monteiroi",5.3017,5.3017,1,0.5
"Hydrobates pelagicus",51.9800503205081,263.154683333333,5,1
"Oceanites oceanicus",0.0078,0.0078,1,0.5
"Pachyptila belcheri",0.639765119344664,0.69694090909091,2,1
"Pachyptila desolata",3.71776853741497,5.06737083333334,2,1
"Pachyptila macgillivrayi",7.74418181818182,7.74418181818182,1,1
"Pachyptila turtur",3.46981069722815,4.63707575757575,2,1
"Pachyptila vittata",20.7558860632184,21.7478541666667,2,1
"Pagodroma nivea",0.00254444444444444,0.00254444444444444,1,1
"Pelagodroma marina",4.41621028646086,2.57029166666667,2,0.5
"Pelecanoides garnotii",0.1783,0.1783,1,0.5
"Pelecanoides georgicus",0.21431,0.21431,1,1
"Pelecanoides urinatrix",0.986234745359352,5.55820227272728,3,1
"Pelecanoides whenuahouensis",0.331441666666667,0.331441666666667,1,1
"Procellaria aequinoctialis",4.86432594321647,6.50086500000001,5,1
"Procellaria cinerea",1.79933620696494,3.05224166666667,4,1
"Procellaria conspicillata",60.8191222222222,60.8191222222222,1,1
"Procellaria parkinsoni",4.22792727272727,4.22792727272727,1,1
"Procellaria westlandica",2.197025,2.197025,1,1
"Pseudobulweria aterrima",14.4694666666667,14.4694666666667,1,1
"Pseudobulweria rostrata",1.76805,1.76805,1,0.5
"Pterodroma arminjoniana",21.7444464310973,21.2301231060606,2,1
"Pterodroma axillaris",2.47110909090909,2.47110909090909,1,1
"Pterodroma baraui",20.41206,20.41206,1,1
"Pterodroma cahow",10.4343833333333,10.4343833333333,1,1
"Pterodroma cervicalis",4.99036666666667,4.99036666666667,1,0.5
"Pterodroma cookii",81.0541837348832,41.8816083333334,2,1
"Pterodroma deserta",8.59875833333333,8.59875833333333,1,1
"Pterodroma feae",1.31159166666667,1.31159166666667,1,1
"Pterodroma gouldi",3.962,3.962,1,0.5
"Pterodroma hasitata",8.961025,8.961025,1,1
"Pterodroma incerta",17.2161636363636,17.2161636363636,1,1
"Pterodroma inexpectata",9.18947272727273,9.18947272727273,1,1
"Pterodroma lessonii",0.798475,0.798475,1,1
"Pterodroma leucoptera",2.84304603300121,3.77890833333333,2,1
"Pterodroma macroptera",5.6542,5.6542,1,0.5
"Pterodroma madeira",4.227975,4.227975,1,1
"Pterodroma magentae",4.04963333333333,4.04963333333333,1,1
"Pterodroma mollis",16.5880554177005,9.14742083333332,2,1
"Pterodroma neglecta",4.9623,4.9623,1,0.5
"Pterodroma nigripennis",5.18151903229651,21.9651083333334,2,1
"Pterodroma phaeopygia",0.502825,0.502825,1,0.5
"Pterodroma pycrofti",1.80720909090909,1.80720909090909,1,1
"Pterodroma sandwichensis",101.5724,101.5724,1,0.5
"Pterodroma solandri",24.626,24.626,1,1
"Pterodroma ultima",20.92925,20.92925,1,1
"Puffinus assimilis",2.91923548847776,3.68011166666667,2,1
"Puffinus bailloni",1.971825,1.971825,1,1
"Puffinus gavia",5.45198333333333,5.45198333333333,1,1
"Puffinus huttoni",3.0781,3.0781,1,0.5
"Puffinus lherminieri",2.45020386192318,3.70891919191919,3,1
"Puffinus mauretanicus",408.95514,408.95514,1,0.5
"Puffinus newelli",87.52,87.52,1,0.5
"Puffinus opisthomelas",3.93114,3.93114,1,0.5
"Puffinus puffinus",5.16421833413671,3.27418282828283,3,1
"Puffinus yelkouan",549.192291666667,549.192291666667,2,1
"Thalassoica antarctica",0.0184774783765802,0.00973958333333333,2,1
