"sovereigns","total","prop","label","category","percent"
"High Seas",6.61746787116719e-06,"0.247172968868346","total","High Seas",24.7172968868346
"Spain",3.02141993822254e-06,"0.11285484884368","total","Spain",11.285484884368
"Tunisia",2.77135924620034e-06,"0.103514683564797","total","Tunisia",10.3514683564797
"Italy",2.62263869574918e-06,"0.0979597340429541","total","Italy",9.79597340429542
"Libya",2.25755284353468e-06,"0.0843231957566304","total","Libya",8.43231957566305
"Turkey",2.24816724225703e-06,"0.0839726285944508","total","Turkey",8.39726285944507
"lowimp",2.07268522895319e-06,"0.000523095241857672","total","low exposure countries",7.74180957949353
"Algeria",1.45425524903655e-06,"0.0543187506754513","total","Algeria",5.43187506754513
"Malta",1.15633341985197e-06,"0.0431908956644601","total","Malta",4.31908956644602
"Greece",7.27812658631721e-07,"0.0271849624533555","total","Greece",2.71849624533555
"United States",6.24384062230339e-07,"0.0233217395807817","total","United States",2.33217395807817
"Japan",5.7195910204684e-07,"0.0213635837871104","total","Japan",2.13635837871103
"United Kingdom",3.35140433370698e-07,"0.012518029179256","total","United Kingdom",1.25180291792559
"New Zealand",2.91443609768527e-07,"0.0108858831937916","total","New Zealand",1.08858831937916
