"sp_country","seasons","n_pops","score","species","breeding_country"
"Ardenna bulleri_New Zealand",1,1,17.0555,"Ardenna bulleri","New Zealand"
"Ardenna carneipes_Australia",1,2,20.5216,"Ardenna carneipes","Australia"
"Ardenna carneipes_New Zealand",1,1,22.6737,"Ardenna carneipes","New Zealand"
"Ardenna creatopus_Chile",1,1,1.8707,"Ardenna creatopus","Chile"
"Ardenna gravis_UK",1,2,6.5717,"Ardenna gravis","UK"
"Ardenna grisea_New Zealand",1,2,12.2509,"Ardenna grisea","New Zealand"
"Ardenna grisea_UK",1,1,1.7966,"Ardenna grisea","UK"
"Ardenna pacifica_USA",0.5,1,74.2182,"Ardenna pacifica","USA"
"Ardenna pacifica_Australia",1,2,7.0015,"Ardenna pacifica","Australia"
"Ardenna pacifica_Mauritius",1,1,11.1476,"Ardenna pacifica","Mauritius"
"Ardenna pacifica_France",1,2,5.5372,"Ardenna pacifica","France"
"Ardenna pacifica_Seychelles",1,1,3.2957,"Ardenna pacifica","Seychelles"
"Ardenna tenuirostris_Australia",1,1,3.8543,"Ardenna tenuirostris","Australia"
"Bulweria bulwerii_Portugal",1,2,8.5576,"Bulweria bulwerii","Portugal"
"Bulweria bulwerii_Spain",1,1,14.6716,"Bulweria bulwerii","Spain"
"Bulweria bulwerii_Cape Verde",1,1,0.5504,"Bulweria bulwerii","Cape Verde"
"Calonectris borealis_Portugal",1,3,9.0742,"Calonectris borealis","Portugal"
"Calonectris borealis_Spain",1,1,6.0255,"Calonectris borealis","Spain"
"Calonectris diomedea_Spain",1,2,275.1889,"Calonectris diomedea","Spain"
"Calonectris diomedea_Italy",1,4,541.9679,"Calonectris diomedea","Italy"
"Calonectris diomedea_Malta",1,1,305.5307,"Calonectris diomedea","Malta"
"Calonectris diomedea_Tunisia",1,1,361.5882,"Calonectris diomedea","Tunisia"
"Calonectris edwardsii_Cape Verde",1,1,6.1718,"Calonectris edwardsii","Cape Verde"
"Calonectris leucomelas_Japan",1,3,34.2214,"Calonectris leucomelas","Japan"
"Calonectris leucomelas_South Korea",1,1,73.2939,"Calonectris leucomelas","South Korea"
"Daption capense_Antarctica",1,2,0.591,"Daption capense","Antarctica"
"Fulmarus glacialis_Norway",1,4,1.2072,"Fulmarus glacialis","Norway"
"Fulmarus glacialis_Iceland",1,1,0.4937,"Fulmarus glacialis","Iceland"
"Fulmarus glacialis_Canada",1,1,0.3658,"Fulmarus glacialis","Canada"
"Fulmarus glacialis_Denmark",1,1,0.8552,"Fulmarus glacialis","Denmark"
"Fulmarus glacialis_UK",1,1,1.3871,"Fulmarus glacialis","UK"
"Fulmarus glacialoides_Antarctica",1,2,0.0044,"Fulmarus glacialoides","Antarctica"
"Halobaena caerulea_France",1,1,0.2429,"Halobaena caerulea","France"
"Halobaena caerulea_UK",1,1,0.0467,"Halobaena caerulea","UK"
"Hydrobates castro_Portugal",1,2,5.1884,"Hydrobates castro","Portugal"
"Hydrobates castro_UK",0.5,1,7.2133,"Hydrobates castro","UK"
"Hydrobates furcatus_Canada",1,1,5.127,"Hydrobates furcatus","Canada"
"Hydrobates jabejabe_Cape Verde",0.5,1,0.3283,"Hydrobates jabejabe","Cape Verde"
"Hydrobates leucorhous_Canada",1,3,2.3742,"Hydrobates leucorhous","Canada"
"Hydrobates monteiroi_Portugal",0.5,1,5.2889,"Hydrobates monteiroi","Portugal"
"Hydrobates pelagicus_Spain",0.5,1,551.6453,"Hydrobates pelagicus","Spain"
"Hydrobates pelagicus_Italy",0.5,1,312.4533,"Hydrobates pelagicus","Italy"
"Hydrobates pelagicus_Ireland",0.5,1,1.3769,"Hydrobates pelagicus","Ireland"
"Hydrobates pelagicus_Malta",1,1,493.3543,"Hydrobates pelagicus","Malta"
"Hydrobates pelagicus_UK",0.5,1,0.9872,"Hydrobates pelagicus","UK"
"Oceanites oceanicus_UK",0.5,1,0.0075,"Oceanites oceanicus","UK"
"Pachyptila belcheri_France",1,1,1.1785,"Pachyptila belcheri","France"
