species,breeding_country,group_1,Percent_1,group_2,Percent_2,group_3,Percent_3,group_4,Percent_4,group_5,Percent_5,group_6,Percent_6,group_7,Percent_7
Ardenna bulleri,New Zealand,High Seas,89,New Zealand,9,12,3,,,,,,,,
Ardenna carneipes,Australia,Japan,27,China,26,Australia,20,High Seas,18,18,9,,,,
Ardenna carneipes,New Zealand,High Seas,61,Japan,26,New Zealand,9,21,4,,,,,,
Ardenna creatopus,Chile,United States,46,Mexico,28,Chile,10,High Seas,6,8,11,,,,
Ardenna gravis,UK,High Seas,50,Argentina,21,United Kingdom,13,Uruguay,8,35,7,,,,
Ardenna grisea,New Zealand,High Seas,62,Japan,24,United States,6,30,8,,,,,,
Ardenna grisea,UK,High Seas,83,18,17,,,,,,,,,,
Ardenna pacifica,USA,United States,77,High Seas,23,0,0,,,,,,,,
Ardenna pacifica,Australia,Australia,64,High Seas,21,Indonesia,14,5,1,,,,,,
Ardenna pacifica,Mauritius,High Seas,47,Republic of Mauritius,30,France,14,France/Madagascar/Republic of Mauritius,6,11,4,,,,
Ardenna pacifica,France,High Seas,42,France,33,Republic of Mauritius,13,Madagascar,5,19,7,,,,
Ardenna pacifica,Seychelles,High Seas,53,Seychelles,13,Republic of Mauritius,11,18,23,,,,,,
Ardenna tenuirostris,Australia,Japan,25,High Seas,25,Australia,17,Russia,17,Japan/Russia,12,16,4,,
Bulweria bulwerii,Portugal,High Seas,75,Portugal,18,16,7,,,,,,,,
Bulweria bulwerii,Spain,High Seas,90,15,10,,,,,,,,,,
Bulweria bulwerii,Cape Verde,High Seas,71,Cape Verde,22,13,7,,,,,,,,
Calonectris borealis,Portugal,High Seas,65,Portugal,18,South Africa,7,40,10,,,,,,
Calonectris borealis,Spain,High Seas,55,Spain,12,South Africa,12,Portugal,9,29,12,,,,
Calonectris diomedea,Spain,Spain,50,Algeria,34,Spain/Morocco,8,42,8,,,,,,
Calonectris diomedea,Italy,Tunisia,40,Italy,22,Libya,20,Malta,17,36,1,,,,
Calonectris diomedea,Malta,Libya,30,Italy,28,Tunisia,21,Malta,19,40,2,,,,
Calonectris diomedea,Tunisia,Tunisia,39,Italy,24,Libya,24,Malta,11,37,2,,,,
Calonectris edwardsii,Cape Verde,Brazil,54,High Seas,28,Uruguay,10,11,8,,,,,,
Calonectris leucomelas,Japan,Japan,80,High Seas,18,17,2,,,,,,,,
Calonectris leucomelas,South Korea,China,37,Malaysia,22,Philippines,10,South Korea,9,Indonesia,8,Vietnam,6,13,9
Daption capense,Antarctica,New Zealand,59,Australia,25,High Seas,16,1,0,,,,,,
Fulmarus glacialis,Norway,Norway,49,Russia,25,High Seas,14,Denmark,6,11,5,,,,
Fulmarus glacialis,Iceland,High Seas,37,Denmark,22,Iceland,18,Norway,16,5,8,,,,
Fulmarus glacialis,Canada,High Seas,58,Canada,21,Denmark,15,Ireland,6,1,0,,,,
Fulmarus glacialis,Denmark,High Seas,30,Norway,23,Denmark,19,United Kingdom,16,Iceland,6,7,7,,
Fulmarus glacialis,UK,United Kingdom,38,Norway,24,Denmark,13,High Seas,9,9,16,,,,
Fulmarus glacialoides,Antarctica,High Seas,72,Antarctica,20,Australia,7,2,2,,,,,,
Halobaena caerulea,France,High Seas,77,France,22,5,1,,,,,,,,
Halobaena caerulea,UK,High Seas,89,United Kingdom,9,4,2,,,,,,,,
Hydrobates castro,Portugal,Portugal,41,High Seas,31,Spain/Morocco,7,28,21,,,,,,
Hydrobates castro,UK,High Seas,91,United Kingdom,9,0,0,,,,,,,,
Hydrobates furcatus,Canada,High Seas,43,Canada,30,United States,27,0,0,,,,,,
Hydrobates jabejabe,Cape Verde,Cape Verde,93,High Seas,6,3,1,,,,,,,,
Hydrobates leucorhous,Canada,High Seas,70,United States,13,Canada,11,7,6,,,,,,
Hydrobates monteiroi,Portugal,Portugal,89,High Seas,11,0,0,,,,,,,,
Hydrobates pelagicus,Spain,Spain,46,Algeria,38,Spain/Morocco,10,2,6,,,,,,
Hydrobates pelagicus,Italy,Italy,43,Spain,28,Algeria,14,France,11,2,4,,,,
Hydrobates pelagicus,Ireland,Ireland,84,High Seas,9,United Kingdom,8,0,0,,,,,,
Hydrobates pelagicus,Malta,Italy,33,Tunisia,29,Libya,20,Malta,15,13,3,,,,
Hydrobates pelagicus,UK,United Kingdom,63,Norway,31,Denmark,5,2,1,,,,,,
Oceanites oceanicus,UK,Antarctica,97,1,3,,,,,,,,,,
Pachyptila belcheri,France,High Seas,98,5,2,,,,,,,,,,
Pachyptila belcheri,UK,High Seas,46,Argentina,43,United Kingdom,9,3,2,,,,,,
Pachyptila desolata,France,High Seas,94,6,6,,,,,,,,,,
Pachyptila desolata,UK,High Seas,95,6,5,,,,,,,,,,
Pachyptila macgillivrayi,UK,High Seas,69,United Kingdom,31,2,0,,,,,,,,
Pachyptila turtur,New Zealand,New Zealand,97,1,3,,,,,,,,,,
Pachyptila turtur,Australia,Australia,98,1,2,,,,,,,,,,
Pachyptila vittata,UK,High Seas,83,United Kingdom,17,1,0,,,,,,,,
Pagodroma nivea,Antarctica,High Seas,78,Antarctica,19,4,3,,,,,,,,
Pelagodroma marina,Cape Verde,Cape Verde,95,6,5,,,,,,,,,,
Pelagodroma marina,Portugal,Portugal,58,Spain,35,3,6,,,,,,,,
Pelecanoides garnotii,Peru,Peru,95,1,5,,,,,,,,,,
Pelecanoides georgicus,UK,High Seas,89,United Kingdom,11,1,0,,,,,,,,
Pelecanoides urinatrix,Australia,Australia,100,0,0,,,,,,,,,,
Pelecanoides urinatrix,New Zealand,New Zealand,97,1,3,,,,,,,,,,
Pelecanoides urinatrix,UK,High Seas,69,United Kingdom,31,1,0,,,,,,,,
Pelecanoides whenuahouensis,New Zealand,New Zealand,74,High Seas,25,2,1,,,,,,,,
Procellaria aequinoctialis,New Zealand,High Seas,42,New Zealand,38,Chile,17,9,3,,,,,,
Procellaria aequinoctialis,France,High Seas,79,South Africa,14,19,8,,,,,,,,
Procellaria aequinoctialis,South Africa,South Africa,58,High Seas,41,5,1,,,,,,,,
Procellaria aequinoctialis,UK,High Seas,32,Brazil,27,Argentina,23,Uruguay,16,3,2,,,,
Procellaria cinerea,New Zealand,New Zealand,51,High Seas,49,4,0,,,,,,,,
Procellaria cinerea,UK,High Seas,53,United Kingdom,46,5,1,,,,,,,,
