"species","breeding_country","group_1","Percent_1","group_2","Percent_2","group_3","Percent_3","group_4","Percent_4","group_5","Percent_5","group_6","Percent_6","group_7","Percent_7"
"Puffinus yelkouan","Malta","Turkey",31.1094956115201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","Malta",NA,NA,"Libya",17.1826914368765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","Malta",NA,NA,NA,NA,"Italy",14.3269173845854,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","Malta",NA,NA,NA,NA,NA,NA,"Greece",11.8595850721109,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","Malta",NA,NA,NA,NA,NA,NA,NA,NA,"Tunisia",10.0553760774708,NA,NA,NA,NA
"Puffinus yelkouan","Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Malta",8.46742728841541,"16",6.99850712902085
"Hydrobates pelagicus","Spain","Spain",46.3450654720244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Spain",NA,NA,"Algeria",37.670733808637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Spain",NA,NA,NA,NA,"Spain/Morocco",5.84044091865242,"4",10.1437598006861,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Italy","Tunisia",39.8371150090157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Italy",NA,NA,"Italy",21.8897329104557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Italy",NA,NA,NA,NA,"Libya",20.1129859875818,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Italy",NA,NA,NA,NA,NA,NA,"Malta",16.8169647631708,"52",1.34320132977593,NA,NA,NA,NA
"Hydrobates pelagicus","Malta","Italy",32.595045292108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Malta",NA,NA,"Tunisia",29.1526454157262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Malta",NA,NA,NA,NA,"Libya",19.9719533593904,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Malta",NA,NA,NA,NA,NA,NA,"Malta",14.7120094142467,"21",3.56834651852859,NA,NA,NA,NA
"Puffinus mauretanicus","Spain","Spain",67.0970681289113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus mauretanicus","Spain",NA,NA,"Algeria",28.8316083402754,"9",4.07132353081339,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","France","Spain",29.963213348345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","France",NA,NA,"Turkey",23.1304711026325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","France",NA,NA,NA,NA,"Algeria",15.3622660368067,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus yelkouan","France",NA,NA,NA,NA,NA,NA,"Italy",13.159764209504,"49",18.3842853027118,NA,NA,NA,NA
"Calonectris diomedea","Tunisia","Tunisia",38.8914740238209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Tunisia",NA,NA,"Italy",23.7475511882782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Tunisia",NA,NA,NA,NA,"Libya",23.5837738420171,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Tunisia",NA,NA,NA,NA,NA,NA,"Malta",11.2183923464326,"51",2.55880859945123,NA,NA,NA,NA
"Hydrobates pelagicus","Italy","Italy",42.6888445549188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Italy",NA,NA,"Spain",27.7637552928093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Italy",NA,NA,NA,NA,"Algeria",13.7877584730172,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrobates pelagicus","Italy",NA,NA,NA,NA,NA,NA,"France",11.3331844879604,"3",4.42645719129431,NA,NA,NA,NA
"Calonectris diomedea","Malta","Libya",29.5434830106519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Malta",NA,NA,"Italy",27.769980459257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Malta",NA,NA,NA,NA,"Tunisia",21.1854086401678,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Malta",NA,NA,NA,NA,NA,NA,"Malta",19.2106567328656,"54",2.29047115705766,NA,NA,NA,NA
"Calonectris diomedea","Spain","Spain",49.8641822315584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris diomedea","Spain",NA,NA,"Algeria",34.1305360639414,"65",16.0052817045002,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma sandwichensis","USA","High Seas",78.253229930566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma sandwichensis","USA",NA,NA,"United States",21.6609998986896,"3",0.0857701707444576,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus newelli","USA","High Seas",70.7661381063224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puffinus newelli","USA",NA,NA,"United States",29.2320639900629,"2",0.00179790361467941,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma cookii","New Zealand","High Seas",96.5541592906291,"40",3.44584070937089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","USA","United States",77.2648096931945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna pacifica","USA",NA,NA,"High Seas",22.7351903068055,"0",0,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","South Korea","China",36.8935358067735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","South Korea",NA,NA,"Malaysia",21.6314033344517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","South Korea",NA,NA,NA,NA,"Philippines",10.4668679014381,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","South Korea",NA,NA,NA,NA,NA,NA,"South Korea",8.6771839999642,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,"Indonesia",7.70490219046743,NA,NA,NA,NA
"Calonectris leucomelas","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vietnam",5.82492271210997,"15",8.80118405479513
"Procellaria conspicillata","UK","High Seas",79.6834295946726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria conspicillata","UK",NA,NA,"United Kingdom",12.0957854170764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procellaria conspicillata","UK",NA,NA,NA,NA,"Brazil",7.23905736475678,"5",0.981727623494212,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","New Zealand","High Seas",70.3258964933898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma nigripennis","New Zealand",NA,NA,"United States",28.7331549675499,"16",0.940948539060273,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","Japan","Japan",80.1553386423843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calonectris leucomelas","Japan",NA,NA,"High Seas",17.5359448885565,"19",2.30871646905913,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma arminjoniana","Brazil","High Seas",93.1988079255586,"17",6.80119207444142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma solandri","Australia","High Seas",75.2070856864663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma solandri","Australia",NA,NA,"Japan",17.2835764365796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma solandri","Australia",NA,NA,NA,NA,"Australia",5.67962436761773,"14",1.82971350933632,NA,NA,NA,NA,NA,NA
"Pachyptila vittata","UK","High Seas",81.732946471212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pachyptila vittata","UK",NA,NA,"United Kingdom",18.2431624761859,"3",0.023891052602182,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","New Zealand","High Seas",61.1619627049084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","New Zealand",NA,NA,"Japan",25.9216047991436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","New Zealand",NA,NA,NA,NA,"New Zealand",9.12700965485549,"38",3.78942284109245,NA,NA,NA,NA,NA,NA
"Pterodroma ultima","UK","High Seas",97.1382269083841,"10",2.86177309161592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","Australia","Japan",26.4439527933873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","Australia",NA,NA,"China",26.3822650256415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","Australia",NA,NA,NA,NA,"Australia",19.571697447244,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna carneipes","Australia",NA,NA,NA,NA,NA,NA,"High Seas",18.4670585544239,"23",9.13502617930334,NA,NA,NA,NA
"Pterodroma baraui","France","High Seas",80.4537129699392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma baraui","France",NA,NA,"France",7.69174961314464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma baraui","France",NA,NA,NA,NA,"Madagascar",5.52661469233142,"12",6.32792272458479,NA,NA,NA,NA,NA,NA
"Pterodroma incerta","UK","High Seas",81.0070084623218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma incerta","UK",NA,NA,"Brazil",8.97776089171473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma incerta","UK",NA,NA,NA,NA,"United Kingdom",5.69028470964144,"7",4.32494593632199,NA,NA,NA,NA,NA,NA
"Ardenna bulleri","New Zealand","High Seas",88.8510487851293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna bulleri","New Zealand",NA,NA,"New Zealand",8.60430100760745,"25",2.5446502072633,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma mollis","UK","High Seas",90.654148764113,"10",9.34585123588706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma arminjoniana","Mauritius","High Seas",64.860880443512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma arminjoniana","Mauritius",NA,NA,"Republic of Mauritius",24.7121561172331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pterodroma arminjoniana","Mauritius",NA,NA,NA,NA,"France",7.19893418441046,"18",3.22802925484445,NA,NA,NA,NA,NA,NA
"Bulweria bulwerii","Spain","High Seas",90.3160953453403,"21",9.68390465465974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria aterrima","France","High Seas",60.5006852858535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria aterrima","France",NA,NA,"France",12.1549340344095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria aterrima","France",NA,NA,NA,NA,"Madagascar",10.4424447024045,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudobulweria aterrima","France",NA,NA,NA,NA,NA,NA,"Republic of Mauritius",9.68476685514353,"31",7.21716912218904,NA,NA,NA,NA
"Ardenna grisea","New Zealand","High Seas",65.3820324615533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardenna grisea","New Zealand",NA,NA,"Japan",22.2753641545572,"56",12.3426033838895,NA,NA,NA,NA,NA,NA,NA,NA
"Pelecanoides urinatrix","Australia","Australia",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
