"UNION","TERRITORY1","SOVEREIGN1","TERRITORY2","SOVEREIGN2","TERRITORY3","SOVEREIGN3","POL_TYPE","AREA_KM2","over","prop","sovereigns"
"High Seas","High Seas","High Seas",NA,NA,NA,NA,"High Seas","219116810",3.12646802473565e-06,0.344240876077077,"High Seas"
"Brazil","Brazil","Brazil",NA,NA,NA,NA,"Union EEZ and country","11678267",1.26909299178659e-06,0.139733936141193,"Brazil"
"South Africa","South Africa","South Africa",NA,NA,NA,NA,"Union EEZ and country","2292218",7.90862607442936e-07,0.0870782092408499,"South Africa"
"Argentina","Argentina","Argentina",NA,NA,NA,NA,"Union EEZ and country","3851647",7.59731680549683e-07,0.0836505274407998,"Argentina"
"Uruguay","Uruguay","Uruguay",NA,NA,NA,NA,"Union EEZ and country","320455",4.81745065879195e-07,0.0530427121633796,"Uruguay"
"Spain","Spain","Spain",NA,NA,NA,NA,"Union EEZ and country","1060248",4.65719011818353e-07,0.0512781577696307,"Spain"
"Ceuta","Ceuta","Spain","Ceuta","Morocco",NA,NA,"Overlapping claim","53",3.64455122775542e-07,0.0401284611780538,"Spain_Morocco_NA"
"Perejil Island","Perejil Island","Spain","Perejil Island","Morocco",NA,NA,"Overlapping claim","1",3.64455122775542e-07,0.0401284611780538,"Spain_Morocco_NA"
"Gibraltar","Gibraltar","United Kingdom","Spain","Spain",NA,NA,"Union EEZ and country","395",3.64455122775542e-07,0.0401284611780538,"United Kingdom"
"Morocco","Morocco","Morocco",NA,NA,NA,NA,"Union EEZ and country","686692",3.59036860705812e-07,0.039531881501901,"Morocco"
"Portugal","Portugal","Portugal",NA,NA,NA,NA,"Union EEZ and country","404204",2.03088257837717e-07,0.0223611050060025,"Portugal"
"Madeira","Madeira","Portugal",NA,NA,NA,NA,"Union EEZ and country","453616",1.52403365440118e-07,0.0167804268654361,"Portugal"
"Namibia","Namibia","Namibia",NA,NA,NA,NA,"Union EEZ and country","1386405",4.90717199377199e-08,0.00540305921196746,"Namibia"
"Melilla","Melilla","Spain","Melilla","Morocco",NA,NA,"Overlapping claim","41",4.08932806679768e-08,0.00450256924153267,"Spain_Morocco_NA"
"Azores","Azores","Portugal",NA,NA,NA,NA,"Union EEZ and country","962788",3.94133430661011e-08,0.00433962018445661,"Portugal"
"Canary Islands","Canary Islands","Spain",NA,NA,NA,NA,"Union EEZ and country","453419",3.57505053432067e-08,0.00393632213161184,"Spain"
"France","France","France",NA,NA,NA,NA,"Union EEZ and country","894295",1.8230782400772e-08,0.00200730679334004,"France"
"Trinidade","Trindade","Brazil",NA,NA,NA,NA,"Union EEZ and country","472493",1.47055252991671e-08,0.00161915710383346,"Brazil"
"Tristan Da Cunha","Tristan da Cunha","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","758353",1.22431039016718e-08,0.00134803131830223,"United Kingdom"
"Ireland","Ireland","Ireland",NA,NA,NA,NA,"Union EEZ and country","497290",1.21730724604708e-08,0.00134032048151092,"Ireland"
"Chile","Chile","Chile",NA,NA,NA,NA,"Union EEZ and country","3244212",7.99276729532766e-09,0.000880046491521832,"Chile"
"United Kingdom","United Kingdom","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","977103",7.01474242141491e-09,0.000772360714230262,"United Kingdom"
"Western Sahara","Western Sahara","Western Sahara","Western Sahara","Morocco",NA,NA,"Union EEZ and country","553988",4.9043748915287e-09,0.000539997945257414,"Western Sahara"
"Falkland Islands","Falkland / Malvinas Islands","United Kingdom","Falkland / Malvinas Islands","Argentina",NA,NA,"Union EEZ and country","562944",3.85419228850613e-09,0.000424367215486569,"United Kingdom"
"Cape Verde","Cape Verde","Cape Verde",NA,NA,NA,NA,"Union EEZ and country","806027",6.4927959223432e-10,7.14891608938196e-05,"Cape Verde"
"Saint Helena","Saint Helena","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","449352",6.43456896355327e-10,7.08480508889654e-05,"United Kingdom"
"South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands","United Kingdom","South Georgia and the South Sandwich Islands","Argentina",NA,NA,"Union EEZ and country","1241743",3.63747369987573e-10,4.00505338051049e-05,"United Kingdom"
"Mauritania","Mauritania","Mauritania",NA,NA,NA,NA,"Union EEZ and country","1212055",1.99958662550175e-10,2.20165198015396e-05,"Mauritania"
"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau",NA,NA,NA,NA,"Union EEZ and country","140612",1.53028589535966e-10,1.68492673873274e-05,"Guinea-Bissau"
"Faeroe","Faeroe","Denmark",NA,NA,NA,NA,"Union EEZ and country","267048",1.2727983356158e-10,1.40141914344023e-05,"Denmark"
"Greenland","Greenland","Denmark",NA,NA,NA,NA,"Union EEZ and country","4437543",9.32842889672024e-11,1.02710998814747e-05,"Denmark"
"Jersey","Jersey","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","2402",8.63045449201665e-11,9.50259267572824e-06,"United Kingdom"
"Senegal","Senegal","Senegal",NA,NA,NA,NA,"Union EEZ and country","353555",6.44509684772822e-11,7.09639685328674e-06,"Senegal"
"Guinea","Guinea","Guinea",NA,NA,NA,NA,"Union EEZ and country","346871",4.02467931661011e-11,4.43138750474283e-06,"Guinea"
"Ascension","Ascension","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","446105",3.6568997733142e-11,4.02644252790073e-06,"United Kingdom"
"Sierra Leone","Sierra Leone","Sierra Leone",NA,NA,NA,NA,"Union EEZ and country","232908",3.57112779600188e-11,3.93200298660604e-06,"Sierra Leone"
"Antarctica","Antarctica","Antarctica",NA,NA,NA,NA,"Union EEZ and country","22143430",2.90176194485849e-11,3.19499533071242e-06,"Antarctica"
"Guernsey","Guernsey","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","6619",1.70870459340606e-11,1.88137528206693e-06,"United Kingdom"
"Gambia","Gambia","Gambia",NA,NA,NA,NA,"Union EEZ and country","33723",1.5435369669244e-11,1.69951687830339e-06,"Gambia"
"Angola","Angola","Angola",NA,NA,NA,NA,"Union EEZ and country","1742906",4.66898069021254e-12,5.14079782831496e-07,"Angola"
"Iceland","Iceland","Iceland",NA,NA,NA,NA,"Union EEZ and country","865631",3.73425733684155e-12,4.11161734891012e-07,"Iceland"
"Madagascar","Madagascar","Madagascar",NA,NA,NA,NA,"Union EEZ and country","1786627",2.41745777760620e-12,2.66175050139163e-07,"Madagascar"
"Liberia","Liberia","Liberia",NA,NA,NA,NA,"Union EEZ and country","347612",1.94312060593621e-12,2.1394798680772e-07,"Liberia"
"Joint regime area Argentina / Uruguay","Uruguay","Uruguay",NA,NA,NA,NA,"Joint regime (EEZ)","41414",6.33653574785607e-08,0.00697686526738146,"Uruguay"
"Joint regime area Spain / France","France","France",NA,NA,NA,NA,"Joint regime (EEZ)","2859",2.53091763393381e-09,0.000278667588055043,"France"
"Joint regime area United Kingdom / Denmark (Faeroe Islands)","United Kingdom","United Kingdom",NA,NA,NA,NA,"Joint regime (EEZ)","8011",2.89374692669994e-11,3.18617036640496e-06,"United Kingdom"
"Joint regime area Senegal / Guinea Bissau","Senegal","Senegal",NA,NA,NA,NA,"Joint regime (EEZ)","63460",1.57961262721326e-11,1.73923811263121e-06,"Senegal"
"Joint regime area Argentina / Uruguay","Argentina","Argentina",NA,NA,NA,NA,"Joint regime (EEZ)","41414",6.33653574785607e-08,0.00697686526738146,"Argentina"
"Joint regime area Spain / France","Spain","Spain",NA,NA,NA,NA,"Joint regime (EEZ)","2859",2.53091763393381e-09,0.000278667588055043,"Spain"
"Joint regime area United Kingdom / Denmark (Faeroe Islands)","Faeroe","Denmark",NA,NA,NA,NA,"Joint regime (EEZ)","8011",2.89374692669994e-11,3.18617036640496e-06,"Denmark"
"Joint regime area Senegal / Guinea Bissau","Guinea-Bissau","Guinea-Bissau",NA,NA,NA,NA,"Joint regime (EEZ)","63460",1.57961262721326e-11,1.73923811263121e-06,"Guinea-Bissau"
