"dtime","dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","age","sex","breed_stage","breed_status","track_time","equinox","argos_quality","longitude","latitude"
2015-01-10 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420891260,NA,NA,-36.9620542387077,-52.0550101153579
2015-01-11 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420934460,NA,NA,-37.1270336017805,-50.4119365299049
2015-01-11 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420977660,NA,NA,-42.3998294697184,-53.1317035338796
2015-01-12 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421020860,NA,NA,-49.2211480015474,-51.4097820481814
2015-01-12 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421064060,NA,NA,-53.5302927770732,-50.805225679853
2015-01-13 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421107260,NA,NA,-56.8882908273342,-46.899687100835
2015-01-13 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421150460,NA,NA,-59.4198598008927,-46.2551399037088
2015-01-14 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421193660,NA,NA,-60.6299715925779,-46.7531371009862
2015-01-14 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421236860,NA,NA,-60.8693180985771,-46.9157164426721
2015-01-15 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421280060,NA,NA,-60.1442616704136,-46.1473082994496
2015-01-15 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421323260,NA,NA,-60.5746250016626,-46.8314292823942
2015-01-16 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421366460,NA,NA,-60.8095169321517,-47.0214439386546
2015-01-16 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421409660,NA,NA,-60.9987441689081,-47.0687756389457
2015-01-17 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421452860,NA,NA,-60.1314457109961,-45.6025209425632
2015-01-17 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421496060,NA,NA,-60.1338911392982,-45.790059846501
