"dtime","dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","age","sex","breed_stage","breed_status","track_time","equinox","argos_quality","longitude","latitude"
2015-01-10 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420891260,NA,NA,-36.9620422988041,-52.0550193131323
2015-01-11 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420934460,NA,NA,-37.1270140502429,-50.4119511966848
2015-01-11 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1420977660,NA,NA,-42.3997859611861,-53.1317493611043
2015-01-12 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421020860,NA,NA,-49.2211605636429,-51.4097995075449
2015-01-12 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421064060,NA,NA,-53.5303046923839,-50.805272940899
2015-01-13 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421107260,NA,NA,-56.8883048756814,-46.8997042801556
2015-01-13 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421150460,NA,NA,-59.4198475522234,-46.2551781191977
2015-01-14 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421193660,NA,NA,-60.6299715879287,-46.7531371176549
2015-01-14 12:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421236860,NA,NA,-60.869318110054,-46.9157164554734
2015-01-15 00:01:00,1386,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GPS","HT65423","82164","adult","male","incubation","breeding",1421280060,NA,NA,-60.144261061696,-46.1473092326537
