"species","population","month","sp_pop","sp_pop_month","exposure_score"
"Calonectris borealis","Berlengas","01","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_01","12.3061"
"Calonectris borealis","Berlengas","02","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_02","11.3508"
"Calonectris borealis","Berlengas","04","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_04","8.5748"
"Calonectris borealis","Berlengas","05","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_05","5.8569"
"Calonectris borealis","Berlengas","06","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_06","7.5096"
"Calonectris borealis","Berlengas","10","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_10","2.2179"
"Calonectris borealis","Berlengas","11","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_11","12.4492"
"Calonectris borealis","Berlengas","12","Calonectris borealis_Berlengas","Calonectris borealis_Berlengas_12","15.8448"
"Procellaria aequinoctialis","South Georgia","01","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_01","0.2939"
"Procellaria aequinoctialis","South Georgia","02","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_02","0.9272"
"Procellaria aequinoctialis","South Georgia","04","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_04","5.3845"
"Procellaria aequinoctialis","South Georgia","05","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_05","8.7001"
"Procellaria aequinoctialis","South Georgia","06","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_06","10.5309"
"Procellaria aequinoctialis","South Georgia","07","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_07","10.742"
"Procellaria aequinoctialis","South Georgia","08","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_08","10.4439"
"Procellaria aequinoctialis","South Georgia","09","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_09","8.9991"
"Procellaria aequinoctialis","South Georgia","10","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_10","6.0596"
"Procellaria aequinoctialis","South Georgia","12","Procellaria aequinoctialis_South Georgia","Procellaria aequinoctialis_South Georgia_12","0.1614"
