"sovereigns","total","prop","label","category"
"Angola",4.35367975589294e-12,4.61821043672034e-07,"total","low exposure countries"
"Antarctica",2.75909848649205e-11,2.9267420069218e-06,"total","low exposure countries"
"Argentina",8.28548060834188e-07,0.0878890850134211,"total","Argentina"
"Brazil",1.30491363261639e-06,0.138420051429154,"total","Brazil"
"Cape Verde",6.41882581892662e-10,6.80883529578235e-05,"total","low exposure countries"
"Chile",7.83810507145114e-09,0.000831435031391327,"total","low exposure countries"
"Denmark",1.97869520240843e-10,2.09892122232516e-05,"total","low exposure countries"
"France",2.2022936023875e-08,0.00233610551752271,"total","low exposure countries"
"Gambia",1.54694885908702e-11,1.64094186221169e-06,"total","low exposure countries"
"Guinea",4.02799290281249e-11,4.27273476824407e-06,"total","low exposure countries"
"Guinea-Bissau",1.68196425015468e-10,1.78416082251822e-05,"total","low exposure countries"
"High Seas",3.13580981461011e-06,0.332634241041743,"total","High Seas"
"Iceland",6.81858908014681e-12,7.23288827365367e-07,"total","low exposure countries"
"Ireland",1.17875156004406e-08,0.00125037280234668,"total","low exposure countries"
"Liberia",1.76650424515906e-12,1.87383748895678e-07,"total","low exposure countries"
"Madagascar",1.85423876493394e-10,1.96690278029718e-05,"total","low exposure countries"
"Mauritania",2.03810035665154e-10,2.16193584873381e-05,"total","low exposure countries"
"Morocco",3.88668422291514e-07,0.0412284013729015,"total","Morocco"
"Namibia",4.712692439703e-08,0.00499903682181273,"total","low exposure countries"
"Portugal",3.97540887229882e-07,0.0421695571876429,"total","Portugal"
"Senegal",7.79999017965852e-11,8.27391955167522e-06,"total","low exposure countries"
"Sierra Leone",3.56633328293979e-11,3.78302459334602e-06,"total","low exposure countries"
"South Africa",7.8728125156897e-07,0.0835116659122385,"total","South Africa"
"Spain",6.08932572075132e-07,0.064593146884768,"total","Spain"
"Spain_Morocco_NA",9.09460012477034e-07,0.0964719032380878,"total","Spain_Morocco_NA"
"United Kingdom",4.21071365762321e-07,0.0446655768223542,"total","United Kingdom"
"Uruguay",5.49603772776559e-07,0.0582997836729266,"total","Uruguay"
"Western Sahara",4.98849607528071e-09,0.000529159835590038,"total","low exposure countries"
