"UNION","TERRITORY1","SOVEREIGN1","TERRITORY2","SOVEREIGN2","TERRITORY3","SOVEREIGN3","POL_TYPE","AREA_KM2","over","prop","sovereigns"
"High Seas","High Seas","High Seas",NA,NA,NA,NA,"High Seas","219116810",3.13580981461011e-06,0.332634241041743,"High Seas"
"Brazil","Brazil","Brazil",NA,NA,NA,NA,"Union EEZ and country","11678267",1.29020476626554e-06,0.136859793350872,"Brazil"
"South Africa","South Africa","South Africa",NA,NA,NA,NA,"Union EEZ and country","2292218",7.8728125156897e-07,0.0835116659122385,"South Africa"
"Argentina","Argentina","Argentina",NA,NA,NA,NA,"Union EEZ and country","3851647",7.64765900365195e-07,0.0811233269496643,"Argentina"
"Spain","Spain","Spain",NA,NA,NA,NA,"Union EEZ and country","1060248",5.70319384142405e-07,0.0604972133870276,"Spain"
"Uruguay","Uruguay","Uruguay",NA,NA,NA,NA,"Union EEZ and country","320455",4.85821612307567e-07,0.0515340256091698,"Uruguay"
"Ceuta","Ceuta","Spain","Ceuta","Morocco",NA,NA,"Overlapping claim","53",3.97061836111897e-07,0.0421187413491605,"Spain_Morocco_NA"
"Perejil Island","Perejil Island","Spain","Perejil Island","Morocco",NA,NA,"Overlapping claim","1",3.97061836111897e-07,0.0421187413491605,"Spain_Morocco_NA"
"Gibraltar","Gibraltar","United Kingdom","Spain","Spain",NA,NA,"Union EEZ and country","395",3.97061836111897e-07,0.0421187413491605,"United Kingdom"
"Morocco","Morocco","Morocco",NA,NA,NA,NA,"Union EEZ and country","686692",3.88668422291514e-07,0.0412284013729015,"Morocco"
"Portugal","Portugal","Portugal",NA,NA,NA,NA,"Union EEZ and country","404204",2.02858776007689e-07,0.0215184526439032,"Portugal"
"Madeira","Madeira","Portugal",NA,NA,NA,NA,"Union EEZ and country","453616",1.55684820144846e-07,0.0165144269111359,"Portugal"
"Melilla","Melilla","Spain","Melilla","Morocco",NA,NA,"Overlapping claim","41",1.15336340253239e-07,0.0122344205397669,"Spain_Morocco_NA"
"Namibia","Namibia","Namibia",NA,NA,NA,NA,"Union EEZ and country","1386405",4.712692439703e-08,0.00499903682181273,"Namibia"
"Azores","Azores","Portugal",NA,NA,NA,NA,"Union EEZ and country","962788",3.89972910773467e-08,0.00413667763260382,"Portugal"
"Canary Islands","Canary Islands","Spain",NA,NA,NA,NA,"Union EEZ and country","453419",3.58091014064602e-08,0.00379848714460565,"Spain"
"France","France","France",NA,NA,NA,NA,"Union EEZ and country","894295",1.92188494976089e-08,0.00203865916438797,"France"
"Trinidade","Trindade","Brazil",NA,NA,NA,NA,"Union EEZ and country","472493",1.47088663508506e-08,0.00156025807828143,"Brazil"
"Tristan Da Cunha","Tristan da Cunha","United Kingdom",NA,NA,NA,NA,"Union EEZ and country","758353",1.18911085927569e-08,0.00126136153521429,"United Kingdom"
"Ireland","Ireland","Ireland",NA,NA,NA,NA,"Union EEZ and country","497290",1.17875156004406e-08,0.00125037280234668,"Ireland"
"Chile","Chile","Chile",NA,NA,NA,NA,"Union EEZ and country","3244212",7.83810507145114e-09,0.000831435031391327,"Chile"
