year,mar,sep
1994,20/03/1994 20:27:00,23/09/1994 06:19:00
1995,21/03/1995 02:14:00,23/09/1994 12:13:00
1996,20/03/1996 08:03:00,22/09/1996 18:00:00
1997,20/03/1997 13:54:00,22/09/1997 23:55:00
1998,20/03/1998 19:54:00,23/09/1998 05:37:00
1999,21/03/1999 01:45:00,23/09/1999 11:31:00
2000,20/03/2000 07:35:00,22/09/2000 17:27:00
2001,20/03/2001 13:30:00,22/09/2001 23:04:00
2002,20/03/2002 19:16:00,23/09/2002 05:55:00
2003,21/03/2003 00:59:00,23/09/2003 10:46:00
2004,20/03/2004 06:48:00,22/09/2004 16:29:00
2005,20/03/2005 12:33:00,22/09/2005 22:23:00
2006,20/03/2006 18:25:00,23/09/2006 04:03:00
2007,21/03/2007 00:07:00,23/09/2007 09:51:00
2008,20/03/2008 05:48:00,22/09/2008 15:44:00
2009,20/03/2009 11:43:00,22/09/2009 22:18:00
2010,20/03/2010 17:32:00,23/09/2010 03:08:00
2011,20/03/2011 23:20:00,23/09/2011 09:04:00
2012,20/03/2012 05:14:00,22/09/2012 14:48:00
2013,10/03/2013 11:01:00,22/09/2013 20:44:00
2014,20/03/2014 16:57:00,23/09/2014 02:29:00
2015,20/03/2015 22:45:00,23/09/2015 08:20:00
2016,20/03/2016 04:30:00,22/09/2016 14:21:00
2017,20/03/2017 10:28:00,22/09/2017 20:01:00
2018,20/03/2018 16:15:00,23/09/2018 01:54:00
2019,20/03/2019 21:58:00,23/09/2019 07:50:00
2020,20/03/2020 03:49:00,22/09/2020 13:30:00
