"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","original_track_id","age","sex","breed_stage","breed_status","date_gmt","time_gmt","latitude","longitude","argos_quality","equinox"
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-01,"04:25:58",-46.1975,-63.3125,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-01,"16:24:56",-48.07,-63.0775,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-02,"04:23:54",-47.94,-62.8375,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-02,"16:19:00",-46.1025,-61.6375,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-03,"04:16:32",-45.2675,-61.045,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-08,"04:15:46",-46.7975,-61.1225,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-11,"16:15:32",-46.4675,-61.275,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-04-01,"18:00:54",-39.7025,-55.3725,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-04-08,"08:50:12",-37.6,-56.93,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-04-17,"14:51:24",-40.2375,-57.8475,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-04-18,"02:48:02",-38.8525,-57.035,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-04-18,"14:46:11",-39.085,-56.5975,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-06,"16:05:35",-49.3625,-58.49,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-09,"16:12:57",-51.0325,-60.505,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-18,"03:54:43",-51.795,-56.505,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-19,"15:53:56",-48.945,-56.4175,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-04,"04:16:22",-48.735,-61.0575,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-04,"16:13:27",-48.73,-60.355,NA,NA
439,"Procellaria aequinoctialis","White-chinned Petrel","South Georgia (Islas Georgias del Sur)","Bird Island (SGSSI (IGSISS))",-54,-38.03,"GLS","6759",849,"03_6759_1","adult","unknown","non-breeding","non-breeding",2003-03-09,"04:13:50",-50.1575,-60.6925,NA,NA
