"dataset_id","scientific_name","common_name","site_name","colony_name","lat_colony","lon_colony","device","bird_id","track_id","original_track_id","age","sex","breed_stage","breed_status","date_gmt","time_gmt","latitude","longitude","argos_quality","equinox"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-16,"00:35:00",33.67,-8.75,NA,"Ye"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-18,"00:37:00",35.06,-9.37,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-20,"00:36:00",34.97,-9.23,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-21,"12:34:00",33.95,-8.8,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-27,"00:29:00",36.46,-7.81,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-18,"12:40:00",35.38,-10.14,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-03-04,"13:13:00",17,-15.3,NA,"Ye"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-03-05,"01:14:00",22.94,-15.58,NA,"Ye"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-19,"00:34:00",38.85,-8.67,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-19,"12:30:00",38.49,-7.7,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-20,"12:33:00",31.87,-8.5,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-21,"00:29:00",31.54,-7.53,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-23,"12:28:00",32.67,-7.4,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-26,"00:32:00",37.58,-8.51,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-26,"12:29:00",37.8,-7.79,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-03-04,"01:17:00",11.61,-16.28,NA,"Ye"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-16,"12:37:00",35.51,-9.28,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-17,"00:37:00",35.83,-9.31,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-17,"12:37:00",35.44,-9.34,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-04-25,"12:37:00",35.69,-9.74,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","29047",6085,"crs_brl_29047_3","adult","male","breeding","breeding",2007-03-05,"13:17:00",23.85,-16.36,NA,"Ye"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-24,"12:25:00",35.15,-6.7,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-24,"00:35:00",31.93,-9.56,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-22,"12:41:00",33.5,-11.09,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-24,"12:41:00",34.14,-11.05,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-26,"12:40:00",34.78,-10.75,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-27,"00:41:00",33.57,-10.99,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-27,"12:41:00",33.46,-10.97,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-06-01,"00:42:00",33.68,-11.07,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-20,"00:46:00",31.48,-11.73,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-22,"00:46:00",32.84,-12.35,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-25,"12:44:00",34.53,-11.49,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-28,"12:45:00",33.98,-11.94,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-31,"12:47:00",33.77,-12.34,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-05-28,"00:41:00",33.35,-10.96,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-20,"12:41:00",28.89,-10.5,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-17,"00:49:00",35.82,-12.31,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-17,"12:47:00",36.81,-11.84,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-19,"00:48:00",35.68,-12.17,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-19,"12:43:00",35.32,-10.95,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-22,"12:31:00",38.14,-8.1,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-23,"00:31:00",37.25,-8.13,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-25,"00:29:00",32.4,-7.72,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-27,"12:53:00",36.17,-13.83,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-28,"00:57:00",36.41,-14.85,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-28,"13:07:00",37.16,-17.37,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-29,"01:14:00",37.87,-19.13,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-29,"13:14:00",36.1,-19.15,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-30,"01:12:00",36.35,-18.67,NA,"No"
609,"Calonectris borealis","Cory's Shearwater","Portugal","Berlengas",39.41,-9.51,"GLS","76522",6105,"crs_brl_76522_3","adult","female","breeding","breeding",2007-04-30,"13:11:00",36.58,-18.43,NA,"No"
